,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,99883.0,97773.0,79986.0,72049.0,99883.0,99883.0,79986.0,83780.0,93522.0,79986.0,70098.0,93522.0,83780.0,72049.0,74087.0,74087.0,74087.0,74087.0,81222.0,94591.0,97773.0,93522.0,83780.0,99883.0,93522.0,99883.0,99883.0,74087.0,74087.0,94319.0,79986.0,99883.0,79986.0,74087.0,94319.0,93522.0,93820.0,99883.0,74087.0,83780.0,99883.0,95309.0,94319.0,93522.0,99883.0,97773.0,74087.0,94591.0,99883.0,99883.0,99883.0,93820.0,93522.0,93522.0,74087.0,93820.0,93522.0,74087.0,99883.0,79986.0,93522.0,99883.0,83780.0,99883.0,94591.0,93820.0,66952.0,93522.0,94591.0,99883.0,97773.0,74087.0,99883.0,99883.0,66952.0,65777.0,93748.0,74087.0,93820.0,93820.0,93820.0,97773.0,81222.0,74087.0,93522.0,99883.0,74087.0,79986.0,93748.0,81222.0,99883.0,94591.0,94319.0,99883.0,99883.0,74087.0,99883.0,99883.0,99883.0,93748.0,79022.0,49314.0,71573.0,42599.0,44436.0,68052.0,51396.0,72049.0,70178.0,60695.0,71573.0,71573.0,67364.0,70178.0,51396.0,64318.0,71573.0,68052.0,79986.0,79986.0,84113.0,66749.0,79986.0,66952.0,93748.0,72049.0,66952.0,93522.0,84113.0,74693.0,74693.0,66952.0,93748.0,72049.0,93748.0,97773.0,93522.0,93522.0,99883.0,77440.0,71573.0,53157.0,53157.0,64318.0,52793.0,52793.0,66749.0,56292.0,53157.0,70274.0,97773.0,93522.0,74087.0,64318.0,41436.0,64318.0,93522.0,79986.0,94591.0,93522.0,83780.0,93522.0,74087.0,93522.0,91752.0,62212.0,79986.0,72049.0,66952.0,97773.0,84113.0,72049.0,77440.0,52793.0,77440.0,93748.0,84113.0,97773.0,53157.0,93748.0,97773.0,74087.0,94591.0,93820.0,66952.0,94591.0,84113.0,68052.0,99883.0,93522.0,99883.0,79986.0,67364.0,66952.0,72049.0,66749.0,71573.0,84113.0,66952.0,93748.0,66749.0,65777.0,68052.0,66749.0,97773.0,99883.0,99883.0,99883.0,84113.0,59362.0,11325.0,8809.0,8809.0,8271.0,7390.0,9241.0,42826.0,44436.0,44436.0,49675.0,60695.0,64318.0,84113.0,94591.0,99883.0,93522.0,93820.0,83780.0,93522.0,99883.0,93522.0,79986.0,93748.0,97773.0,84113.0,99883.0,97773.0,99883.0,93522.0,99883.0,83780.0,93820.0,79986.0,74087.0,99883.0,93522.0,74087.0,74087.0,93522.0,93522.0,93522.0,94319.0,74087.0,81222.0,94591.0,94319.0
1,93522.0,92411.0,79986.0,99883.0,93748.0,93820.0,93522.0,79986.0,79986.0,83780.0,74087.0,83780.0,93820.0,65777.0,79986.0,81222.0,79986.0,74087.0,81222.0,81222.0,93820.0,99883.0,99883.0,93820.0,93820.0,74087.0,74087.0,99883.0,83780.0,93522.0,93522.0,83780.0,81222.0,74087.0,74087.0,93522.0,99883.0,94591.0,99883.0,62212.0,94591.0,99883.0,93522.0,93522.0,93522.0,97773.0,70098.0,74087.0,99883.0,94319.0,99883.0,92411.0,83780.0,93522.0,79986.0,93522.0,93522.0,74087.0,83780.0,99883.0,93820.0,93820.0,93522.0,74087.0,94591.0,99883.0,99883.0,99883.0,93522.0,93522.0,79986.0,93522.0,93522.0,79986.0,74087.0,97773.0,93522.0,99883.0,99883.0,74087.0,93522.0,79986.0,74087.0,93522.0,93522.0,81222.0,74087.0,93522.0,93820.0,94319.0,99883.0,99883.0,97773.0,99883.0,79986.0,81222.0,97773.0,99883.0,99883.0,93748.0,74693.0,79022.0,63550.0,56570.0,42599.0,64318.0,60695.0,65777.0,77152.0,53157.0,71573.0,72049.0,68052.0,60695.0,66749.0,77152.0,77152.0,52793.0,79986.0,97773.0,79986.0,97773.0,66952.0,93820.0,97773.0,84113.0,93522.0,93748.0,77440.0,93522.0,84113.0,97773.0,84113.0,93748.0,93748.0,93748.0,77440.0,63550.0,60695.0,64318.0,81222.0,77440.0,66749.0,74087.0,74087.0,84113.0,70274.0,53157.0,53157.0,93748.0,83780.0,94591.0,97773.0,66749.0,66486.0,41436.0,52793.0,74087.0,79986.0,74087.0,74087.0,83780.0,93820.0,70098.0,93522.0,58822.0,88505.0,74087.0,84113.0,84113.0,93748.0,77440.0,74693.0,84113.0,84113.0,77440.0,93522.0,97773.0,97773.0,66749.0,81222.0,72049.0,66952.0,79986.0,67364.0,68052.0,77152.0,77440.0,99883.0,99883.0,83780.0,83780.0,79986.0,97773.0,70274.0,66749.0,68052.0,74693.0,72049.0,74693.0,66952.0,66952.0,71573.0,64318.0,79022.0,77440.0,79986.0,93522.0,79022.0,9760.0,8271.0,6093.0,7162.0,7162.0,11325.0,66486.0,56292.0,70178.0,59640.0,66749.0,70274.0,64318.0,67364.0,74087.0,74087.0,74087.0,74087.0,99883.0,79986.0,99883.0,83780.0,83780.0,93522.0,79986.0,93522.0,99883.0,99883.0,93748.0,83780.0,81222.0,79986.0,94591.0,93820.0,88505.0,94319.0,93522.0,93522.0,74087.0,93522.0,83780.0,83780.0,99883.0,88505.0,93820.0,92411.0,88505.0
2,83780.0,99883.0,93522.0,99883.0,93522.0,74087.0,74087.0,83780.0,93522.0,79986.0,79986.0,79986.0,93522.0,93522.0,97773.0,74087.0,79986.0,74087.0,83780.0,74087.0,88505.0,94319.0,95309.0,88505.0,95309.0,94591.0,93820.0,79986.0,99883.0,79986.0,99883.0,83780.0,74087.0,74087.0,74087.0,93522.0,81222.0,93820.0,94591.0,57006.0,70098.0,95309.0,88505.0,79986.0,93820.0,94591.0,83780.0,74087.0,93820.0,94591.0,93820.0,88505.0,70098.0,97773.0,99883.0,74087.0,97773.0,74087.0,74087.0,94319.0,99883.0,99883.0,99883.0,94319.0,94319.0,99883.0,74087.0,93522.0,99883.0,93522.0,99883.0,99883.0,99883.0,94591.0,74087.0,74087.0,97773.0,97773.0,81222.0,93820.0,93522.0,93820.0,74087.0,81222.0,74087.0,93820.0,99883.0,93820.0,94319.0,94319.0,99883.0,99883.0,99883.0,93522.0,97773.0,74693.0,97773.0,99883.0,97773.0,93748.0,49314.0,66626.0,60695.0,61214.0,56292.0,70178.0,63550.0,52793.0,59640.0,56292.0,71573.0,64318.0,70178.0,70274.0,74693.0,51396.0,64318.0,74693.0,93522.0,93522.0,97773.0,97773.0,93522.0,99883.0,93522.0,97773.0,97773.0,84113.0,97773.0,72049.0,93748.0,93748.0,93748.0,84113.0,99883.0,66952.0,97773.0,74693.0,53157.0,67364.0,53157.0,63550.0,72049.0,65777.0,93748.0,65777.0,93748.0,72049.0,93820.0,94591.0,92411.0,94591.0,79986.0,74087.0,65777.0,70178.0,56292.0,64318.0,74087.0,83780.0,99883.0,74087.0,83780.0,74087.0,74087.0,79986.0,94591.0,91752.0,74087.0,65777.0,68052.0,71573.0,63550.0,66749.0,99883.0,99883.0,97773.0,79986.0,65777.0,71573.0,79986.0,97773.0,52793.0,79986.0,79022.0,53157.0,79022.0,77152.0,63550.0,72049.0,99883.0,83780.0,79986.0,93748.0,71573.0,60695.0,68052.0,68052.0,51396.0,53157.0,93748.0,72049.0,67364.0,52793.0,53157.0,97773.0,93522.0,93522.0,53157.0,9241.0,9760.0,9425.0,39853.0,57410.0,60695.0,59389.0,59640.0,64318.0,71573.0,53157.0,66749.0,70274.0,72049.0,95309.0,74087.0,93522.0,74087.0,93522.0,93748.0,97773.0,99883.0,93522.0,99883.0,79986.0,99883.0,99883.0,79986.0,97773.0,83780.0,99883.0,93522.0,81222.0,93522.0,88505.0,74087.0,93522.0,83780.0,83780.0,93522.0,79986.0,93522.0,92411.0,92411.0,74087.0,94591.0,94319.0
3,99883.0,99883.0,83780.0,74087.0,93522.0,93522.0,93522.0,93522.0,99883.0,83780.0,79986.0,79986.0,83780.0,83780.0,97773.0,84113.0,72049.0,93522.0,99883.0,94319.0,97773.0,95309.0,94319.0,99883.0,81222.0,65777.0,65777.0,74087.0,97773.0,52793.0,94591.0,99883.0,74087.0,93522.0,94319.0,79986.0,70098.0,74087.0,74087.0,97773.0,57006.0,88505.0,74087.0,83780.0,99883.0,74087.0,79986.0,93820.0,99883.0,66952.0,95309.0,93522.0,74087.0,93522.0,74087.0,99883.0,99883.0,97773.0,79986.0,94319.0,93522.0,94319.0,94591.0,99883.0,93820.0,94319.0,74087.0,99883.0,99883.0,93522.0,93820.0,81222.0,93522.0,99883.0,93820.0,94319.0,79986.0,84113.0,74087.0,93820.0,93820.0,94319.0,97773.0,74087.0,74087.0,93820.0,99883.0,74087.0,74087.0,97773.0,99883.0,63550.0,81222.0,77440.0,74693.0,66952.0,93522.0,99883.0,93522.0,93748.0,66626.0,44436.0,49675.0,59389.0,64318.0,66486.0,70178.0,63550.0,53157.0,56292.0,52793.0,74087.0,66749.0,68052.0,81222.0,77440.0,72049.0,79986.0,93820.0,74087.0,81222.0,99883.0,97773.0,99883.0,93522.0,93522.0,93748.0,66749.0,77440.0,63550.0,66749.0,56292.0,46774.0,77440.0,81222.0,93748.0,70274.0,77152.0,67364.0,72049.0,64318.0,63550.0,53157.0,70274.0,97773.0,81222.0,93748.0,99883.0,97773.0,74087.0,74087.0,94591.0,83780.0,66952.0,74087.0,81222.0,41436.0,59640.0,66952.0,74087.0,93748.0,74087.0,93820.0,83780.0,93820.0,74087.0,65777.0,94591.0,88945.0,74087.0,66952.0,68052.0,66749.0,93522.0,81222.0,74693.0,67364.0,65777.0,66749.0,41436.0,64318.0,74693.0,59389.0,64318.0,93748.0,68052.0,52793.0,60695.0,71573.0,67364.0,99883.0,93522.0,93522.0,93748.0,79022.0,59640.0,70178.0,70178.0,70178.0,68052.0,52793.0,53157.0,70274.0,79986.0,67364.0,97773.0,99883.0,99883.0,65777.0,28225.0,66486.0,63550.0,63550.0,79022.0,74693.0,74693.0,64318.0,68052.0,71573.0,84113.0,93748.0,65777.0,93748.0,93522.0,94319.0,99883.0,93522.0,83780.0,97773.0,97773.0,97773.0,74087.0,97773.0,79986.0,79986.0,93522.0,79986.0,99883.0,99883.0,99883.0,93522.0,72049.0,93820.0,74087.0,92411.0,93820.0,74087.0,81222.0,99883.0,94319.0,93820.0,74087.0,74087.0,94591.0,94591.0,74087.0
4,83780.0,81222.0,93522.0,83780.0,97773.0,74087.0,93522.0,93522.0,94319.0,93522.0,79986.0,79986.0,83780.0,79986.0,70098.0,93820.0,74087.0,74087.0,93820.0,74087.0,66952.0,74087.0,70274.0,72049.0,64318.0,93522.0,74087.0,79986.0,99883.0,74087.0,93522.0,93522.0,74087.0,94319.0,97773.0,81222.0,93820.0,93522.0,74087.0,94319.0,93522.0,74087.0,74087.0,93522.0,74087.0,94319.0,99883.0,65777.0,99883.0,83780.0,94319.0,83780.0,81222.0,93820.0,94319.0,93820.0,74087.0,94591.0,93522.0,79986.0,93522.0,74087.0,74087.0,99883.0,92411.0,74087.0,97773.0,94319.0,74087.0,74087.0,94319.0,93748.0,93748.0,93820.0,94319.0,97773.0,74693.0,79986.0,93820.0,74087.0,93522.0,99883.0,93522.0,93522.0,93820.0,94319.0,99883.0,74087.0,93522.0,94591.0,93522.0,66952.0,67364.0,51396.0,53157.0,66952.0,97773.0,93522.0,97773.0,84113.0,49314.0,70178.0,67364.0,56292.0,64318.0,79022.0,70274.0,64318.0,68052.0,59389.0,67364.0,66749.0,66749.0,68052.0,81222.0,77440.0,68052.0,70274.0,81222.0,99883.0,94591.0,97773.0,77440.0,97773.0,97773.0,93748.0,93748.0,93522.0,93748.0,51396.0,66749.0,84113.0,65777.0,93748.0,63550.0,79022.0,67364.0,77440.0,66749.0,97773.0,79986.0,93748.0,84113.0,84113.0,99883.0,81222.0,65777.0,97773.0,99883.0,74087.0,93522.0,74087.0,74087.0,94591.0,74087.0,74087.0,97773.0,97773.0,79986.0,74087.0,99883.0,74087.0,94591.0,93820.0,93820.0,83780.0,97773.0,74087.0,74087.0,88945.0,88945.0,94319.0,93820.0,74087.0,77440.0,49314.0,59640.0,51396.0,59640.0,66486.0,70178.0,49675.0,28225.0,59640.0,68052.0,66749.0,67364.0,67364.0,53157.0,64318.0,71573.0,74693.0,93522.0,84113.0,74693.0,51396.0,59389.0,68052.0,70178.0,53157.0,64318.0,52793.0,71573.0,66952.0,79986.0,93522.0,93522.0,93522.0,79986.0,52793.0,84113.0,99883.0,93522.0,84113.0,79022.0,53157.0,67364.0,93748.0,66749.0,93748.0,66749.0,93748.0,66749.0,93522.0,74087.0,99883.0,83780.0,93522.0,74087.0,97773.0,99883.0,97773.0,93522.0,97773.0,97773.0,93522.0,99883.0,99883.0,99883.0,79986.0,83780.0,74087.0,93820.0,79986.0,95309.0,94319.0,93820.0,99883.0,74087.0,99883.0,83780.0,97773.0,99883.0,74087.0,94319.0,94319.0
5,74087.0,66749.0,83780.0,74087.0,97773.0,71573.0,70274.0,74693.0,53157.0,79986.0,93522.0,79986.0,79986.0,74087.0,67364.0,93820.0,93522.0,99883.0,97773.0,93522.0,93522.0,99883.0,74087.0,74087.0,74087.0,94319.0,74087.0,92411.0,94319.0,70274.0,99883.0,97773.0,70098.0,62992.0,74087.0,83780.0,99883.0,79986.0,97773.0,74087.0,93522.0,93522.0,93522.0,83780.0,79986.0,79986.0,74087.0,74087.0,93522.0,74087.0,93522.0,79986.0,94591.0,94591.0,99883.0,94591.0,99883.0,74087.0,74087.0,99883.0,94591.0,99883.0,94591.0,94319.0,95309.0,83780.0,99883.0,99883.0,99883.0,99883.0,93522.0,99883.0,99883.0,99883.0,93820.0,79986.0,81222.0,93522.0,74087.0,81222.0,79986.0,74087.0,93820.0,74087.0,93522.0,99883.0,99883.0,74087.0,97773.0,93522.0,99883.0,67364.0,57410.0,18218.0,68052.0,84113.0,84113.0,77440.0,74693.0,64318.0,71573.0,63550.0,49314.0,59640.0,53157.0,66749.0,84113.0,79986.0,93748.0,65777.0,66749.0,72049.0,70274.0,53157.0,53157.0,64318.0,77152.0,52793.0,65777.0,74087.0,99883.0,66749.0,97773.0,65777.0,99883.0,74087.0,99883.0,72049.0,84113.0,93748.0,97773.0,93522.0,93748.0,99883.0,93748.0,59640.0,41436.0,70178.0,64318.0,84113.0,72049.0,84113.0,97773.0,93748.0,72049.0,77440.0,70274.0,99883.0,79986.0,93522.0,93522.0,74087.0,93522.0,94591.0,52793.0,74087.0,74087.0,65777.0,79986.0,74087.0,97773.0,51728.0,62472.0,91752.0,97773.0,88505.0,88945.0,62472.0,92411.0,91752.0,88505.0,94591.0,70098.0,79986.0,84113.0,49314.0,59640.0,52793.0,59640.0,66486.0,71573.0,53157.0,59640.0,51396.0,70274.0,72049.0,67364.0,67364.0,70178.0,51396.0,49314.0,59640.0,66626.0,52793.0,93748.0,49314.0,70178.0,64318.0,64318.0,52793.0,72049.0,67364.0,52793.0,93820.0,79986.0,67364.0,65777.0,93522.0,93522.0,74087.0,74087.0,94319.0,83780.0,66952.0,84113.0,66749.0,84113.0,79022.0,72049.0,99883.0,72049.0,84113.0,64318.0,99883.0,74087.0,99883.0,74087.0,99883.0,99883.0,99883.0,93522.0,79986.0,99883.0,93748.0,97773.0,99883.0,97773.0,99883.0,99883.0,79986.0,74087.0,93820.0,93522.0,94319.0,92411.0,97773.0,74087.0,99883.0,74087.0,74087.0,83780.0,93522.0,93522.0,93522.0,93522.0,93522.0
6,99883.0,66952.0,97773.0,77440.0,66952.0,93748.0,66952.0,97773.0,66749.0,99883.0,93820.0,74087.0,83780.0,97773.0,83780.0,70274.0,99883.0,99883.0,99883.0,94319.0,99883.0,93522.0,99883.0,99883.0,79986.0,93820.0,99883.0,83780.0,93820.0,79986.0,93820.0,93522.0,79986.0,65777.0,83780.0,74087.0,83780.0,79986.0,97773.0,74087.0,72049.0,65777.0,79986.0,83780.0,79986.0,83780.0,93522.0,93522.0,94591.0,93522.0,66952.0,94319.0,95309.0,95309.0,94319.0,94591.0,93820.0,93820.0,79986.0,74087.0,94319.0,83780.0,97773.0,97773.0,99883.0,93522.0,83780.0,97773.0,97773.0,79986.0,74087.0,99883.0,99883.0,99883.0,97773.0,72049.0,93820.0,97773.0,79986.0,81222.0,79986.0,81222.0,93820.0,99883.0,93522.0,94319.0,99883.0,99883.0,99883.0,79986.0,99883.0,99883.0,84113.0,53157.0,70274.0,66626.0,53157.0,53157.0,77440.0,65777.0,61160.0,63550.0,64318.0,63550.0,64318.0,72049.0,77440.0,52793.0,97773.0,93522.0,74087.0,84113.0,67364.0,52793.0,53157.0,59389.0,68052.0,70274.0,97773.0,93522.0,84113.0,65777.0,72049.0,93748.0,74087.0,99883.0,97773.0,71573.0,74693.0,84113.0,81222.0,97773.0,52793.0,77440.0,84113.0,84113.0,64318.0,49314.0,49675.0,79022.0,53157.0,74693.0,51396.0,61214.0,70178.0,71573.0,93748.0,84113.0,77440.0,93522.0,93522.0,93820.0,74087.0,74087.0,79986.0,66952.0,94591.0,93522.0,97773.0,93820.0,93522.0,58822.0,62472.0,58822.0,57006.0,52402.0,88945.0,57692.0,51728.0,58822.0,91752.0,62472.0,93820.0,74087.0,97773.0,97773.0,93748.0,64318.0,61160.0,59640.0,71573.0,68052.0,67364.0,64318.0,67364.0,79986.0,77440.0,65777.0,74693.0,70178.0,68052.0,49314.0,59640.0,74693.0,66749.0,64318.0,53157.0,71573.0,53157.0,66749.0,70274.0,67364.0,81222.0,93820.0,66952.0,72049.0,79986.0,94319.0,74087.0,95309.0,99883.0,93820.0,79986.0,93522.0,99883.0,97773.0,93748.0,71573.0,64318.0,68052.0,71573.0,77440.0,93748.0,74087.0,74087.0,79986.0,79986.0,83780.0,97773.0,93522.0,79986.0,93820.0,97773.0,93522.0,93522.0,79986.0,93748.0,93748.0,97773.0,93522.0,79986.0,95309.0,93522.0,94591.0,99883.0,93820.0,74087.0,99883.0,74087.0,74087.0,99883.0,83780.0,74087.0,81222.0,74087.0,74087.0
7,93748.0,93748.0,74087.0,93748.0,79986.0,97773.0,93820.0,99883.0,97773.0,66952.0,99883.0,83780.0,74087.0,74087.0,99883.0,52793.0,93522.0,97773.0,93748.0,74087.0,99883.0,83780.0,74087.0,93522.0,74087.0,99883.0,65777.0,92411.0,74087.0,93522.0,99883.0,94591.0,99883.0,99883.0,93522.0,74087.0,74087.0,74087.0,74087.0,79986.0,79986.0,74087.0,74087.0,74087.0,99883.0,97773.0,74087.0,99883.0,74087.0,66952.0,74087.0,93522.0,94591.0,83780.0,94319.0,94591.0,92411.0,97773.0,94591.0,97773.0,92411.0,79986.0,99883.0,65777.0,97773.0,99883.0,99883.0,99883.0,74087.0,99883.0,79986.0,99883.0,99883.0,74087.0,74087.0,99883.0,74087.0,84113.0,93748.0,81222.0,93820.0,94319.0,99883.0,99883.0,93820.0,93820.0,93522.0,74087.0,74087.0,93522.0,93748.0,99883.0,67364.0,74693.0,66749.0,79022.0,63550.0,66749.0,74693.0,52793.0,77152.0,51396.0,77152.0,59389.0,70178.0,66952.0,74087.0,60695.0,72049.0,84113.0,74087.0,97773.0,79986.0,65777.0,53157.0,67364.0,70274.0,53157.0,66952.0,97773.0,79986.0,84113.0,99883.0,99883.0,93522.0,93522.0,99883.0,77440.0,66626.0,51396.0,56292.0,41436.0,71573.0,74693.0,93748.0,84113.0,93748.0,84113.0,71573.0,71573.0,52793.0,65777.0,74693.0,53157.0,74693.0,93748.0,74693.0,93748.0,64318.0,72049.0,93522.0,93522.0,94319.0,67364.0,66952.0,79986.0,99883.0,84113.0,64318.0,74087.0,93522.0,97773.0,58822.0,91752.0,88505.0,57692.0,51728.0,88945.0,51728.0,95309.0,95309.0,58822.0,74571.0,93522.0,74087.0,97773.0,79022.0,63550.0,93748.0,71573.0,52793.0,52793.0,71573.0,67364.0,68052.0,66749.0,52793.0,63550.0,84113.0,67364.0,53157.0,63550.0,60695.0,59640.0,71573.0,68052.0,68052.0,60695.0,53157.0,71573.0,68052.0,93748.0,70274.0,70274.0,70274.0,68052.0,65777.0,66749.0,93820.0,92411.0,95309.0,97773.0,94591.0,97773.0,83780.0,84113.0,77152.0,63550.0,74693.0,67364.0,77440.0,52793.0,93748.0,97773.0,83780.0,93748.0,93522.0,83780.0,97773.0,93522.0,93522.0,83780.0,97773.0,79986.0,72049.0,83780.0,93522.0,99883.0,97773.0,74087.0,81222.0,74087.0,99883.0,93748.0,66749.0,66952.0,99883.0,93522.0,93522.0,74087.0,81222.0,66952.0,79986.0,74087.0,74087.0,74087.0
8,94591.0,74087.0,74087.0,93522.0,93522.0,79986.0,79986.0,93522.0,74087.0,83780.0,97773.0,74087.0,67364.0,83780.0,99883.0,70098.0,94319.0,93748.0,74087.0,99883.0,74087.0,74087.0,93820.0,79986.0,83780.0,94319.0,94591.0,99883.0,74087.0,99883.0,74087.0,99883.0,97773.0,99883.0,93522.0,74087.0,93522.0,74087.0,93820.0,83780.0,74087.0,93820.0,74087.0,95309.0,62992.0,93522.0,93820.0,94319.0,70098.0,99883.0,81222.0,99883.0,93522.0,99883.0,95309.0,95309.0,95309.0,94591.0,94591.0,92411.0,92411.0,91752.0,79986.0,93522.0,65777.0,84113.0,97773.0,65777.0,93522.0,74087.0,94319.0,93820.0,74087.0,74087.0,93522.0,99883.0,97773.0,67364.0,71573.0,66952.0,70274.0,97773.0,93820.0,99883.0,74087.0,97773.0,97773.0,99883.0,93748.0,84113.0,71573.0,77440.0,84113.0,81222.0,78028.0,66486.0,59640.0,66749.0,46774.0,72049.0,79022.0,59389.0,77440.0,64318.0,84113.0,72049.0,84113.0,74693.0,84113.0,99883.0,99883.0,93522.0,70274.0,67364.0,93748.0,66952.0,93748.0,77440.0,66952.0,99883.0,93748.0,93748.0,74693.0,74693.0,53157.0,77440.0,74693.0,93748.0,77440.0,70178.0,71573.0,64318.0,53157.0,70178.0,68052.0,59640.0,84113.0,93748.0,72049.0,53157.0,77440.0,93748.0,97773.0,77440.0,93748.0,84113.0,93748.0,65777.0,77440.0,84113.0,74087.0,99883.0,81222.0,97773.0,81222.0,97773.0,93522.0,99883.0,93522.0,83780.0,79986.0,92411.0,92411.0,62992.0,57692.0,51728.0,57692.0,88505.0,88505.0,93820.0,95309.0,88505.0,57692.0,51728.0,91752.0,99883.0,97773.0,93522.0,79986.0,93522.0,65777.0,66749.0,53157.0,72049.0,52793.0,71573.0,84113.0,79022.0,59640.0,66749.0,66749.0,66749.0,66749.0,64318.0,71573.0,67364.0,68052.0,51396.0,49314.0,59389.0,66749.0,97773.0,97773.0,70274.0,70178.0,71573.0,67364.0,53157.0,72049.0,79986.0,57692.0,52402.0,51728.0,51728.0,93522.0,65777.0,97773.0,84113.0,93748.0,97773.0,97773.0,97773.0,99883.0,92411.0,74087.0,64318.0,97773.0,99883.0,99883.0,99883.0,79986.0,79986.0,74087.0,93522.0,74087.0,99883.0,99883.0,93522.0,79986.0,74087.0,65777.0,93820.0,74087.0,93522.0,72049.0,66952.0,97773.0,74087.0,93522.0,93522.0,72049.0,99883.0,93522.0,94319.0,83780.0,83780.0
9,94319.0,74087.0,92411.0,74087.0,93522.0,99883.0,83780.0,83780.0,79986.0,83780.0,74087.0,79986.0,74087.0,74087.0,93820.0,83780.0,94591.0,99883.0,99883.0,79986.0,74087.0,83780.0,74087.0,83780.0,74087.0,92411.0,95309.0,94319.0,95309.0,93820.0,74087.0,74087.0,99883.0,74087.0,93522.0,93522.0,79986.0,79986.0,93522.0,74087.0,94591.0,65777.0,97773.0,62472.0,74087.0,74087.0,99883.0,99883.0,74087.0,94591.0,94591.0,74087.0,74087.0,66952.0,94319.0,94591.0,99883.0,97773.0,99883.0,66952.0,95309.0,99883.0,74087.0,99883.0,84113.0,84113.0,93748.0,97773.0,93522.0,99883.0,83780.0,70098.0,74087.0,74087.0,66952.0,72049.0,84113.0,66952.0,93820.0,97773.0,79986.0,99883.0,97773.0,79986.0,93748.0,66749.0,66952.0,65777.0,79986.0,84113.0,64318.0,93748.0,97773.0,93522.0,77440.0,66749.0,70178.0,64318.0,84113.0,77152.0,52793.0,63550.0,68052.0,79022.0,66952.0,97773.0,74693.0,74087.0,84113.0,97773.0,99883.0,99883.0,97773.0,99883.0,97773.0,97773.0,93748.0,93748.0,99883.0,93748.0,84113.0,52793.0,93748.0,93748.0,84113.0,74693.0,93748.0,67364.0,84113.0,66749.0,77152.0,68052.0,65777.0,61214.0,57410.0,71573.0,93748.0,66749.0,71573.0,41436.0,66749.0,77440.0,84113.0,74693.0,70178.0,65777.0,93748.0,84113.0,66749.0,99883.0,93748.0,53157.0,70178.0,78028.0,67364.0,53157.0,79986.0,79986.0,83780.0,92411.0,58822.0,57006.0,88505.0,92411.0,94591.0,62472.0,62212.0,97773.0,88945.0,94319.0,92411.0,99883.0,92411.0,51728.0,51728.0,92411.0,83780.0,93522.0,93522.0,79986.0,68052.0,63550.0,60695.0,65777.0,84113.0,63550.0,53157.0,72049.0,53157.0,64318.0,52793.0,64318.0,64318.0,70274.0,74693.0,79022.0,66749.0,63550.0,49314.0,64318.0,66749.0,59640.0,70274.0,79986.0,68052.0,66952.0,93522.0,66952.0,70274.0,99883.0,91752.0,51728.0,57692.0,74571.0,99883.0,99883.0,97773.0,84113.0,93748.0,84113.0,97773.0,97773.0,93522.0,99883.0,74087.0,99883.0,93522.0,97773.0,83780.0,93522.0,74087.0,83780.0,99883.0,94319.0,74087.0,94319.0,93522.0,74087.0,99883.0,79986.0,74087.0,74087.0,81222.0,74087.0,94319.0,74087.0,99883.0,74087.0,74087.0,81222.0,66952.0,99883.0,93522.0,99883.0,99883.0,93820.0
