,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,480972.0,461614.0,540576.0,310151.0,480972.0,310151.0,283290.0,204570.0,252677.0,480972.0,214117.0,310151.0,310151.0,461614.0,461614.0,480972.0,480972.0,435167.0,252677.0,540576.0,283290.0,310151.0,540576.0,540576.0,265299.0,265299.0,540576.0,265299.0,310151.0,214117.0,480972.0,310151.0,435167.0,310151.0,480972.0,283290.0,283290.0,214117.0,68222.0,283290.0,310151.0,283290.0,283290.0,480972.0,214117.0,265299.0,480972.0,310151.0,461614.0,265299.0,283290.0,480972.0,310151.0,204570.0,310151.0,480972.0,310151.0,310151.0,310151.0,204570.0,265299.0,310151.0,283290.0,214117.0,480972.0,480972.0,283290.0,480972.0,214117.0,480972.0,204570.0,204570.0,480972.0,178489.0,310151.0,178489.0,204570.0,480972.0,435167.0,214117.0,461614.0,480972.0,252677.0,480972.0,435167.0,283290.0,310151.0,310151.0,435167.0,214117.0,480972.0,480972.0,540576.0,228517.0,540576.0,228517.0,214117.0,130262.0,265299.0,540576.0,265299.0,265299.0,435167.0,265299.0,130262.0,540576.0,540576.0,480972.0,540576.0,283290.0,435167.0,310151.0,283290.0,310151.0,480972.0,480972.0,283290.0,283290.0,310151.0,283290.0,214117.0,204570.0,480972.0,214117.0,185829.0,480972.0,265299.0,440386.0,229244.0,310151.0,480972.0,310151.0,310151.0,270131.0,267623.0,290584.0,290584.0,286084.0,331277.0,310151.0,252677.0,194579.0,267623.0,194579.0,308723.0,267623.0,290584.0,290584.0,331277.0,182283.0,182283.0,182283.0,185829.0,185829.0,194579.0,310151.0,290584.0,194579.0,331277.0,194579.0,267623.0,185829.0,290584.0,270131.0,185829.0,194579.0,252677.0,308723.0,252677.0,267623.0,290584.0,308723.0,308723.0,194579.0,194579.0,286084.0,194579.0,331277.0,194579.0,171173.0,331277.0,331277.0,252677.0,310151.0,267623.0,185829.0,310151.0,440386.0,194579.0,185829.0,331277.0,202893.0,101913.0,101913.0,290584.0,290584.0,85371.0,286084.0,290584.0,72869.0,312244.0,194579.0,267623.0,194579.0,185829.0,270131.0,270131.0,270131.0,310151.0,185829.0,435167.0,283290.0,214117.0,68274.0,252677.0,70695.0,107352.0,68274.0,228517.0,178489.0,107352.0,130262.0,265299.0,214117.0,480972.0,68274.0,178489.0,68274.0,70695.0,70695.0,40392.0,70695.0,283290.0,70695.0,40392.0,40392.0,40392.0,70695.0,107352.0,68274.0,107352.0,107352.0,68274.0,178489.0,72869.0,178489.0,68274.0,107352.0,130262.0,480972.0,252677.0,252677.0,107352.0,461614.0,70695.0,70695.0
1,283290.0,252677.0,480972.0,265299.0,480972.0,480972.0,480972.0,204570.0,214117.0,435167.0,310151.0,310151.0,228517.0,480972.0,130262.0,130262.0,310151.0,540576.0,480972.0,252677.0,310151.0,214117.0,435167.0,480972.0,204570.0,310151.0,480972.0,265299.0,178489.0,283290.0,310151.0,435167.0,435167.0,68274.0,310151.0,107352.0,265299.0,435167.0,214117.0,265299.0,310151.0,310151.0,310151.0,265299.0,435167.0,265299.0,283290.0,310151.0,480972.0,480972.0,480972.0,283290.0,283290.0,461614.0,310151.0,480972.0,283290.0,204570.0,480972.0,283290.0,480972.0,185829.0,310151.0,480972.0,435167.0,204570.0,265299.0,480972.0,265299.0,480972.0,310151.0,480972.0,283290.0,480972.0,461614.0,214117.0,480972.0,310151.0,480972.0,283290.0,480972.0,283290.0,204570.0,540576.0,283290.0,283290.0,480972.0,283290.0,283290.0,130262.0,130262.0,480972.0,265299.0,265299.0,228517.0,228517.0,130262.0,228517.0,228517.0,540576.0,130262.0,540576.0,540576.0,283290.0,540576.0,283290.0,540576.0,480972.0,310151.0,480972.0,283290.0,480972.0,480972.0,480972.0,310151.0,480972.0,310151.0,283290.0,283290.0,310151.0,310151.0,310151.0,270131.0,480972.0,480972.0,310151.0,185829.0,265299.0,283290.0,270131.0,214117.0,204570.0,214117.0,440386.0,182283.0,252677.0,178489.0,312244.0,104298.0,104298.0,171173.0,252677.0,194579.0,308723.0,185829.0,267623.0,252677.0,252677.0,267623.0,267623.0,267623.0,270131.0,185829.0,308723.0,310151.0,310151.0,290584.0,178489.0,290584.0,290584.0,331277.0,185829.0,308723.0,308723.0,185829.0,194579.0,267623.0,331277.0,267623.0,267623.0,182283.0,194579.0,331277.0,331277.0,286084.0,178489.0,331277.0,331277.0,178489.0,290584.0,178489.0,267623.0,178489.0,265299.0,331277.0,182283.0,308723.0,182283.0,310151.0,286084.0,308723.0,286084.0,286084.0,104298.0,312244.0,217661.0,312244.0,132636.0,290584.0,290584.0,104298.0,178489.0,290584.0,308723.0,270131.0,265299.0,310151.0,270131.0,267623.0,214117.0,480972.0,283290.0,178489.0,130262.0,40392.0,30755.0,228517.0,70695.0,68274.0,72869.0,40392.0,480972.0,214117.0,480972.0,252677.0,70695.0,40392.0,107352.0,47752.0,40392.0,68274.0,16029.0,30755.0,178489.0,107352.0,70695.0,70695.0,68274.0,40392.0,30755.0,16029.0,107352.0,40392.0,68274.0,20500.0,20500.0,107352.0,68274.0,178489.0,107352.0,178489.0,480972.0,70695.0,68274.0,178489.0,72869.0
2,540576.0,265299.0,265299.0,310151.0,310151.0,283290.0,265299.0,283290.0,480972.0,130262.0,204570.0,283290.0,204570.0,435167.0,283290.0,283290.0,480972.0,435167.0,480972.0,480972.0,310151.0,310151.0,283290.0,310151.0,310151.0,265299.0,283290.0,310151.0,435167.0,310151.0,194579.0,310151.0,252677.0,228517.0,480972.0,178489.0,178489.0,480972.0,480972.0,310151.0,283290.0,228517.0,130262.0,214117.0,283290.0,310151.0,283290.0,461614.0,480972.0,540576.0,252677.0,265299.0,461614.0,228517.0,480972.0,480972.0,252677.0,283290.0,283290.0,283290.0,480972.0,265299.0,310151.0,283290.0,540576.0,204570.0,283290.0,185829.0,130262.0,310151.0,480972.0,178489.0,130262.0,252677.0,204570.0,204570.0,265299.0,130262.0,310151.0,252677.0,310151.0,252677.0,283290.0,480972.0,265299.0,252677.0,310151.0,252677.0,461614.0,130262.0,130262.0,480972.0,540576.0,130262.0,130262.0,228517.0,265299.0,265299.0,228517.0,283290.0,214117.0,265299.0,265299.0,228517.0,283290.0,265299.0,480972.0,283290.0,283290.0,480972.0,310151.0,480972.0,480972.0,283290.0,310151.0,480972.0,480972.0,310151.0,310151.0,435167.0,480972.0,480972.0,204570.0,214117.0,310151.0,310151.0,283290.0,310151.0,283290.0,204570.0,310151.0,480972.0,480972.0,265299.0,267623.0,331277.0,286084.0,290584.0,290584.0,178489.0,178489.0,267623.0,331277.0,194579.0,194579.0,185829.0,267623.0,290584.0,252677.0,182283.0,185829.0,265299.0,308723.0,182283.0,185829.0,270131.0,252677.0,331277.0,252677.0,331277.0,194579.0,290584.0,270131.0,290584.0,270131.0,290584.0,290584.0,194579.0,194579.0,194579.0,331277.0,331277.0,194579.0,310151.0,267623.0,194579.0,290584.0,214117.0,194579.0,252677.0,178489.0,331277.0,331277.0,331277.0,310151.0,331277.0,185829.0,185829.0,267623.0,252677.0,194579.0,178489.0,194579.0,101913.0,85371.0,171173.0,211148.0,312244.0,202893.0,286084.0,178489.0,310151.0,194579.0,308723.0,310151.0,310151.0,204570.0,270131.0,310151.0,185829.0,435167.0,68274.0,178489.0,178489.0,40392.0,68274.0,70695.0,107352.0,68274.0,252677.0,40392.0,480972.0,265299.0,130262.0,540576.0,480972.0,480972.0,178489.0,70695.0,15850.0,70695.0,228517.0,540576.0,540576.0,68274.0,461614.0,40392.0,40392.0,228517.0,228517.0,30755.0,107352.0,72869.0,20500.0,40392.0,228517.0,40392.0,40392.0,461614.0,70695.0,40392.0,178489.0,40392.0,40392.0,68274.0,72869.0
3,310151.0,540576.0,480972.0,435167.0,540576.0,480972.0,265299.0,480972.0,480972.0,435167.0,283290.0,480972.0,252677.0,130262.0,480972.0,265299.0,540576.0,480972.0,265299.0,252677.0,540576.0,480972.0,461614.0,265299.0,480972.0,480972.0,310151.0,252677.0,214117.0,480972.0,265299.0,283290.0,265299.0,265299.0,228517.0,130262.0,265299.0,252677.0,204570.0,310151.0,480972.0,283290.0,540576.0,204570.0,480972.0,540576.0,540576.0,252677.0,461614.0,480972.0,480972.0,283290.0,310151.0,461614.0,214117.0,283290.0,310151.0,480972.0,252677.0,461614.0,461614.0,107352.0,310151.0,461614.0,435167.0,540576.0,480972.0,480972.0,265299.0,68222.0,310151.0,204570.0,283290.0,204570.0,130262.0,204570.0,252677.0,480972.0,480972.0,461614.0,214117.0,310151.0,480972.0,461614.0,480972.0,480972.0,265299.0,480972.0,283290.0,228517.0,310151.0,265299.0,480972.0,540576.0,228517.0,214117.0,265299.0,228517.0,540576.0,540576.0,228517.0,265299.0,480972.0,480972.0,540576.0,283290.0,480972.0,480972.0,283290.0,480972.0,480972.0,310151.0,480972.0,480972.0,283290.0,480972.0,283290.0,480972.0,283290.0,480972.0,480972.0,310151.0,310151.0,310151.0,440386.0,265299.0,480972.0,310151.0,310151.0,214117.0,480972.0,310151.0,310151.0,194579.0,252677.0,290584.0,101913.0,312244.0,101913.0,171173.0,178489.0,194579.0,310151.0,185829.0,290584.0,182283.0,182283.0,331277.0,182283.0,185829.0,185829.0,185829.0,308723.0,185829.0,267623.0,182283.0,185829.0,185829.0,310151.0,290584.0,182283.0,185829.0,270131.0,440386.0,185829.0,267623.0,252677.0,267623.0,194579.0,194579.0,310151.0,194579.0,331277.0,182283.0,194579.0,101913.0,310151.0,331277.0,265299.0,178489.0,171173.0,331277.0,331277.0,252677.0,194579.0,331277.0,267623.0,182283.0,308723.0,331277.0,202893.0,290584.0,132636.0,290584.0,104298.0,132636.0,178489.0,104298.0,132636.0,252677.0,267623.0,182283.0,182283.0,270131.0,290584.0,204570.0,270131.0,182283.0,229244.0,204570.0,214117.0,540576.0,435167.0,461614.0,107352.0,40392.0,68274.0,68274.0,70695.0,178489.0,228517.0,228517.0,178489.0,214117.0,68274.0,178489.0,70695.0,68274.0,228517.0,68274.0,70695.0,47752.0,228517.0,228517.0,40392.0,130262.0,178489.0,228517.0,40392.0,107352.0,252677.0,47752.0,72869.0,461614.0,68274.0,72869.0,15850.0,107352.0,68274.0,47752.0,70695.0,214117.0,178489.0,30755.0,178489.0,47752.0
4,310151.0,310151.0,480972.0,540576.0,480972.0,480972.0,283290.0,283290.0,435167.0,540576.0,480972.0,435167.0,480972.0,283290.0,310151.0,310151.0,480972.0,480972.0,435167.0,480972.0,461614.0,265299.0,265299.0,435167.0,310151.0,540576.0,229244.0,252677.0,480972.0,480972.0,130262.0,204570.0,480972.0,283290.0,480972.0,283290.0,252677.0,252677.0,310151.0,480972.0,283290.0,540576.0,178489.0,204570.0,480972.0,480972.0,204570.0,480972.0,310151.0,252677.0,540576.0,214117.0,265299.0,270131.0,310151.0,435167.0,283290.0,435167.0,310151.0,435167.0,283290.0,178489.0,310151.0,130262.0,265299.0,461614.0,228517.0,480972.0,480972.0,178489.0,214117.0,283290.0,130262.0,310151.0,480972.0,435167.0,265299.0,204570.0,283290.0,480972.0,214117.0,310151.0,283290.0,265299.0,480972.0,265299.0,480972.0,252677.0,461614.0,283290.0,283290.0,540576.0,435167.0,480972.0,214117.0,480972.0,540576.0,265299.0,540576.0,228517.0,283290.0,228517.0,480972.0,480972.0,480972.0,265299.0,435167.0,480972.0,283290.0,310151.0,480972.0,310151.0,283290.0,310151.0,283290.0,283290.0,480972.0,480972.0,480972.0,310151.0,283290.0,480972.0,310151.0,480972.0,310151.0,204570.0,270131.0,480972.0,310151.0,310151.0,265299.0,265299.0,270131.0,290584.0,267623.0,331277.0,178489.0,104298.0,101913.0,217661.0,101913.0,267623.0,331277.0,185829.0,182283.0,331277.0,194579.0,267623.0,308723.0,270131.0,308723.0,290584.0,290584.0,185829.0,204570.0,185829.0,290584.0,265299.0,267623.0,290584.0,185829.0,185829.0,270131.0,308723.0,290584.0,252677.0,331277.0,194579.0,290584.0,182283.0,194579.0,194579.0,308723.0,252677.0,290584.0,331277.0,267623.0,310151.0,331277.0,310151.0,310151.0,286084.0,252677.0,252677.0,252677.0,331277.0,265299.0,182283.0,182283.0,331277.0,211148.0,101913.0,104298.0,171173.0,290584.0,85371.0,217661.0,101913.0,178489.0,290584.0,178489.0,308723.0,270131.0,440386.0,204570.0,310151.0,308723.0,267623.0,265299.0,283290.0,204570.0,107352.0,107352.0,229244.0,228517.0,178489.0,47752.0,72869.0,68274.0,540576.0,68274.0,228517.0,435167.0,461614.0,178489.0,130262.0,107352.0,72869.0,30755.0,540576.0,178489.0,72869.0,178489.0,40392.0,47752.0,107352.0,30755.0,72869.0,40392.0,30755.0,30755.0,15850.0,68274.0,70695.0,178489.0,47752.0,70695.0,461614.0,68274.0,47752.0,228517.0,107352.0,30755.0,70695.0,47752.0,15850.0
5,480972.0,283290.0,480972.0,480972.0,310151.0,310151.0,283290.0,204570.0,310151.0,214117.0,265299.0,480972.0,214117.0,252677.0,283290.0,480972.0,480972.0,252677.0,480972.0,310151.0,283290.0,252677.0,178489.0,310151.0,204570.0,283290.0,265299.0,204570.0,252677.0,204570.0,461614.0,480972.0,480972.0,214117.0,130262.0,214117.0,461614.0,214117.0,480972.0,480972.0,480972.0,252677.0,480972.0,178489.0,283290.0,310151.0,310151.0,204570.0,252677.0,310151.0,480972.0,214117.0,480972.0,130262.0,480972.0,540576.0,283290.0,540576.0,214117.0,283290.0,480972.0,310151.0,283290.0,252677.0,283290.0,480972.0,214117.0,310151.0,265299.0,435167.0,540576.0,480972.0,480972.0,204570.0,480972.0,228517.0,461614.0,310151.0,252677.0,310151.0,204570.0,480972.0,204570.0,310151.0,178489.0,130262.0,252677.0,480972.0,480972.0,283290.0,283290.0,130262.0,540576.0,214117.0,540576.0,214117.0,480972.0,265299.0,480972.0,265299.0,540576.0,228517.0,283290.0,480972.0,214117.0,540576.0,204570.0,283290.0,310151.0,480972.0,283290.0,310151.0,310151.0,310151.0,283290.0,283290.0,283290.0,283290.0,480972.0,310151.0,310151.0,310151.0,310151.0,480972.0,310151.0,310151.0,310151.0,204570.0,480972.0,480972.0,480972.0,310151.0,310151.0,310151.0,194579.0,331277.0,331277.0,290584.0,286084.0,217661.0,290584.0,290584.0,308723.0,185829.0,194579.0,267623.0,331277.0,267623.0,194579.0,290584.0,185829.0,270131.0,310151.0,290584.0,204570.0,310151.0,185829.0,182283.0,290584.0,267623.0,185829.0,270131.0,270131.0,308723.0,182283.0,194579.0,194579.0,290584.0,331277.0,182283.0,267623.0,194579.0,185829.0,182283.0,194579.0,308723.0,267623.0,265299.0,252677.0,310151.0,194579.0,310151.0,308723.0,435167.0,214117.0,286084.0,290584.0,182283.0,252677.0,331277.0,290584.0,290584.0,290584.0,290584.0,290584.0,101913.0,101913.0,286084.0,310151.0,252677.0,182283.0,310151.0,310151.0,265299.0,204570.0,270131.0,270131.0,214117.0,204570.0,310151.0,132636.0,214117.0,480972.0,130262.0,480972.0,107352.0,70695.0,47752.0,70695.0,229244.0,130262.0,252677.0,480972.0,252677.0,252677.0,130262.0,228517.0,178489.0,40392.0,20500.0,20500.0,178489.0,40392.0,540576.0,480972.0,252677.0,68274.0,178489.0,228517.0,107352.0,40392.0,70695.0,283290.0,228517.0,228517.0,30755.0,47752.0,228517.0,178489.0,252677.0,40392.0,40392.0,70695.0,40392.0,68274.0,47752.0
6,480972.0,480972.0,214117.0,310151.0,310151.0,229244.0,435167.0,540576.0,204570.0,480972.0,265299.0,204570.0,310151.0,310151.0,283290.0,461614.0,461614.0,310151.0,252677.0,252677.0,461614.0,214117.0,265299.0,480972.0,265299.0,480972.0,310151.0,480972.0,283290.0,214117.0,310151.0,310151.0,310151.0,310151.0,540576.0,283290.0,480972.0,435167.0,435167.0,252677.0,283290.0,204570.0,540576.0,310151.0,480972.0,107352.0,461614.0,310151.0,480972.0,283290.0,310151.0,540576.0,480972.0,310151.0,480972.0,310151.0,214117.0,480972.0,310151.0,310151.0,204570.0,228517.0,265299.0,480972.0,435167.0,310151.0,310151.0,204570.0,68274.0,310151.0,228517.0,540576.0,265299.0,252677.0,310151.0,214117.0,480972.0,310151.0,540576.0,252677.0,540576.0,265299.0,252677.0,283290.0,461614.0,283290.0,480972.0,480972.0,283290.0,310151.0,435167.0,214117.0,214117.0,130262.0,228517.0,214117.0,540576.0,228517.0,265299.0,540576.0,228517.0,540576.0,130262.0,540576.0,480972.0,480972.0,283290.0,283290.0,480972.0,310151.0,480972.0,310151.0,310151.0,283290.0,310151.0,480972.0,283290.0,283290.0,283290.0,310151.0,310151.0,310151.0,310151.0,480972.0,310151.0,480972.0,310151.0,480972.0,283290.0,480972.0,283290.0,310151.0,265299.0,308723.0,310151.0,178489.0,331277.0,104298.0,331277.0,331277.0,194579.0,267623.0,185829.0,308723.0,308723.0,290584.0,331277.0,267623.0,182283.0,308723.0,308723.0,185829.0,290584.0,185829.0,182283.0,178489.0,252677.0,270131.0,182283.0,290584.0,182283.0,290584.0,204570.0,308723.0,267623.0,267623.0,290584.0,331277.0,252677.0,290584.0,194579.0,194579.0,290584.0,267623.0,194579.0,252677.0,252677.0,267623.0,310151.0,286084.0,310151.0,178489.0,310151.0,185829.0,331277.0,267623.0,267623.0,194579.0,331277.0,185829.0,194579.0,331277.0,101913.0,85371.0,217661.0,290584.0,104298.0,290584.0,252677.0,252677.0,310151.0,308723.0,310151.0,204570.0,310151.0,270131.0,182283.0,214117.0,310151.0,480972.0,228517.0,68274.0,40392.0,47752.0,228517.0,283290.0,480972.0,107352.0,107352.0,252677.0,214117.0,461614.0,480972.0,214117.0,214117.0,480972.0,68274.0,70695.0,40392.0,107352.0,72869.0,70695.0,107352.0,228517.0,70695.0,107352.0,40392.0,20500.0,283290.0,283290.0,70695.0,72869.0,30755.0,47752.0,72869.0,107352.0,30755.0,214117.0,461614.0,15850.0,72869.0,461614.0,229244.0,30755.0,70695.0,47752.0
7,310151.0,265299.0,283290.0,480972.0,480972.0,265299.0,480972.0,480972.0,480972.0,310151.0,480972.0,204570.0,310151.0,214117.0,130262.0,265299.0,265299.0,283290.0,310151.0,480972.0,283290.0,283290.0,461614.0,480972.0,480972.0,204570.0,461614.0,480972.0,252677.0,461614.0,252677.0,214117.0,229244.0,204570.0,540576.0,214117.0,480972.0,480972.0,540576.0,252677.0,68222.0,310151.0,214117.0,214117.0,480972.0,228517.0,310151.0,214117.0,461614.0,283290.0,283290.0,310151.0,214117.0,265299.0,310151.0,480972.0,480972.0,283290.0,310151.0,214117.0,480972.0,214117.0,310151.0,461614.0,540576.0,283290.0,204570.0,310151.0,540576.0,130262.0,265299.0,480972.0,229244.0,214117.0,68222.0,252677.0,228517.0,310151.0,480972.0,283290.0,480972.0,310151.0,480972.0,204570.0,252677.0,310151.0,480972.0,480972.0,480972.0,178489.0,283290.0,283290.0,480972.0,214117.0,228517.0,214117.0,480972.0,265299.0,480972.0,265299.0,265299.0,480972.0,265299.0,265299.0,480972.0,480972.0,480972.0,540576.0,480972.0,310151.0,480972.0,310151.0,204570.0,480972.0,480972.0,480972.0,480972.0,480972.0,480972.0,310151.0,310151.0,310151.0,310151.0,480972.0,310151.0,310151.0,310151.0,480972.0,310151.0,480972.0,435167.0,310151.0,310151.0,185829.0,290584.0,290584.0,252677.0,265299.0,290584.0,331277.0,178489.0,182283.0,290584.0,185829.0,185829.0,267623.0,331277.0,308723.0,182283.0,185829.0,185829.0,182283.0,182283.0,182283.0,194579.0,290584.0,310151.0,310151.0,252677.0,331277.0,185829.0,270131.0,290584.0,270131.0,182283.0,182283.0,267623.0,185829.0,182283.0,252677.0,194579.0,331277.0,290584.0,252677.0,252677.0,331277.0,267623.0,310151.0,252677.0,331277.0,265299.0,331277.0,178489.0,270131.0,267623.0,178489.0,331277.0,182283.0,286084.0,252677.0,290584.0,286084.0,312244.0,211148.0,211148.0,252677.0,76690.0,290584.0,267623.0,252677.0,331277.0,435167.0,310151.0,310151.0,310151.0,204570.0,308723.0,435167.0,283290.0,480972.0,265299.0,178489.0,252677.0,228517.0,70695.0,178489.0,68274.0,228517.0,214117.0,229244.0,214117.0,435167.0,68274.0,214117.0,130262.0,40392.0,480972.0,30755.0,228517.0,540576.0,70695.0,47752.0,40392.0,68274.0,72869.0,252677.0,214117.0,40392.0,47752.0,70695.0,15850.0,228517.0,107352.0,40392.0,70695.0,283290.0,480972.0,68274.0,40392.0,228517.0,178489.0,30755.0,47752.0,72869.0,178489.0,107352.0
8,214117.0,480972.0,265299.0,310151.0,283290.0,265299.0,214117.0,435167.0,480972.0,283290.0,204570.0,310151.0,204570.0,283290.0,185829.0,310151.0,480972.0,252677.0,435167.0,480972.0,204570.0,310151.0,461614.0,204570.0,214117.0,283290.0,185829.0,283290.0,265299.0,310151.0,283290.0,283290.0,461614.0,229244.0,480972.0,252677.0,252677.0,265299.0,435167.0,229244.0,204570.0,310151.0,480972.0,310151.0,461614.0,178489.0,540576.0,204570.0,310151.0,310151.0,265299.0,310151.0,252677.0,107352.0,540576.0,461614.0,130262.0,480972.0,283290.0,480972.0,283290.0,540576.0,435167.0,252677.0,480972.0,480972.0,310151.0,252677.0,461614.0,252677.0,540576.0,480972.0,461614.0,283290.0,310151.0,204570.0,204570.0,480972.0,480972.0,283290.0,228517.0,310151.0,265299.0,480972.0,265299.0,480972.0,480972.0,214117.0,435167.0,204570.0,214117.0,480972.0,480972.0,265299.0,130262.0,265299.0,214117.0,540576.0,540576.0,540576.0,283290.0,435167.0,265299.0,228517.0,283290.0,283290.0,540576.0,480972.0,480972.0,283290.0,310151.0,310151.0,204570.0,310151.0,310151.0,480972.0,310151.0,283290.0,310151.0,480972.0,310151.0,480972.0,310151.0,480972.0,310151.0,283290.0,283290.0,283290.0,480972.0,283290.0,480972.0,204570.0,185829.0,440386.0,252677.0,101913.0,290584.0,182283.0,182283.0,310151.0,290584.0,310151.0,290584.0,267623.0,194579.0,267623.0,214117.0,185829.0,185829.0,185829.0,308723.0,185829.0,308723.0,214117.0,331277.0,194579.0,308723.0,185829.0,331277.0,308723.0,182283.0,270131.0,185829.0,185829.0,267623.0,267623.0,290584.0,185829.0,182283.0,194579.0,182283.0,185829.0,308723.0,331277.0,331277.0,290584.0,185829.0,331277.0,171173.0,171173.0,310151.0,104298.0,185829.0,252677.0,267623.0,310151.0,331277.0,182283.0,286084.0,310151.0,178489.0,290584.0,290584.0,104298.0,85371.0,217661.0,290584.0,286084.0,252677.0,194579.0,194579.0,270131.0,204570.0,310151.0,310151.0,310151.0,435167.0,310151.0,480972.0,68222.0,252677.0,70695.0,72869.0,47752.0,70695.0,20500.0,70695.0,40392.0,68274.0,252677.0,480972.0,226292.0,229244.0,214117.0,480972.0,228517.0,252677.0,30755.0,540576.0,68274.0,178489.0,228517.0,72869.0,40392.0,461614.0,70695.0,30755.0,72869.0,47752.0,47752.0,40392.0,72869.0,107352.0,40392.0,70695.0,70695.0,70695.0,70695.0,15850.0,47752.0,70695.0,435167.0,461614.0,252677.0,47752.0,130262.0
9,130262.0,480972.0,265299.0,310151.0,310151.0,480972.0,480972.0,214117.0,480972.0,229244.0,283290.0,204570.0,228517.0,480972.0,283290.0,252677.0,283290.0,310151.0,283290.0,283290.0,204570.0,480972.0,283290.0,214117.0,480972.0,540576.0,310151.0,283290.0,480972.0,265299.0,265299.0,204570.0,283290.0,204570.0,214117.0,204570.0,480972.0,480972.0,214117.0,283290.0,252677.0,435167.0,283290.0,214117.0,480972.0,480972.0,310151.0,130262.0,283290.0,480972.0,252677.0,480972.0,214117.0,540576.0,228517.0,310151.0,68222.0,480972.0,480972.0,214117.0,435167.0,283290.0,265299.0,204570.0,214117.0,130262.0,229244.0,480972.0,480972.0,178489.0,265299.0,178489.0,310151.0,283290.0,204570.0,283290.0,435167.0,252677.0,283290.0,283290.0,540576.0,228517.0,283290.0,283290.0,265299.0,214117.0,540576.0,214117.0,178489.0,283290.0,480972.0,480972.0,480972.0,214117.0,130262.0,228517.0,265299.0,228517.0,130262.0,265299.0,540576.0,540576.0,540576.0,480972.0,480972.0,540576.0,540576.0,283290.0,480972.0,283290.0,310151.0,310151.0,480972.0,310151.0,310151.0,480972.0,283290.0,283290.0,283290.0,283290.0,283290.0,480972.0,310151.0,310151.0,310151.0,480972.0,283290.0,265299.0,310151.0,265299.0,214117.0,290584.0,182283.0,267623.0,194579.0,310151.0,178489.0,310151.0,440386.0,185829.0,461614.0,104298.0,286084.0,104298.0,252677.0,194579.0,185829.0,178489.0,182283.0,182283.0,185829.0,182283.0,182283.0,290584.0,194579.0,171173.0,194579.0,178489.0,310151.0,290584.0,270131.0,270131.0,310151.0,290584.0,267623.0,331277.0,182283.0,267623.0,290584.0,310151.0,194579.0,331277.0,252677.0,194579.0,178489.0,331277.0,194579.0,286084.0,171173.0,331277.0,290584.0,310151.0,182283.0,267623.0,310151.0,267623.0,286084.0,178489.0,290584.0,178489.0,252677.0,290584.0,178489.0,286084.0,290584.0,85371.0,171173.0,85371.0,252677.0,252677.0,185829.0,310151.0,204570.0,310151.0,265299.0,194579.0,310151.0,310151.0,461614.0,132636.0,252677.0,107352.0,252677.0,68274.0,40392.0,72869.0,228517.0,68274.0,178489.0,68274.0,540576.0,214117.0,211148.0,47752.0,130262.0,435167.0,228517.0,30755.0,40392.0,40392.0,30755.0,107352.0,70695.0,68274.0,47752.0,47752.0,228517.0,30755.0,68274.0,16029.0,68274.0,47752.0,40392.0,70695.0,40392.0,178489.0,70695.0,107352.0,47752.0,68274.0,252677.0,178489.0,228517.0,228517.0,178489.0,178489.0
