,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,462692.0,65295.0,47121.0,377220.0,50501.0,57250.0,50501.0,42764.0,47121.0,48467.0,48467.0,48467.0,42276.0,48467.0,57640.0,42764.0,48467.0,42764.0,48467.0,48467.0,42276.0,48467.0,48467.0,50371.0,56860.0,48467.0,48467.0,56860.0,48467.0,48467.0,57640.0,42764.0,48467.0,57250.0,48467.0,48467.0,48467.0,48467.0,57640.0,56860.0,56860.0,48467.0,48467.0,48467.0,48467.0,48467.0,37044.0,57250.0,37044.0,37044.0,56860.0,56860.0,48467.0,56860.0,50371.0,50371.0,50501.0,57250.0,57640.0,47121.0,57640.0,57250.0,57640.0,50501.0,50371.0,57250.0,37044.0,50501.0,50501.0,57250.0,43657.0,42276.0,44034.0,65295.0,42276.0,42276.0,57250.0,43657.0,44034.0,65295.0,126001.0,48811.0,42276.0,43657.0,42276.0,43657.0,57250.0,44034.0,44034.0,42276.0,44034.0,37044.0,37044.0,37044.0,42276.0,44034.0,42276.0,42276.0,42276.0,42276.0,42276.0,42276.0,56860.0,43657.0,44034.0,43657.0,42276.0,37044.0,37044.0,43657.0,43657.0,44034.0,44034.0,42276.0,37044.0,48467.0,43657.0,43657.0,42276.0,48811.0,42276.0,44034.0,42276.0,48467.0,56860.0,48467.0,37044.0,43657.0,47121.0,43657.0,42276.0,37044.0,43657.0,57250.0,43657.0,57250.0,57640.0,529428.0,490471.0,611259.0,497480.0,552811.0,508854.0,466228.0,497480.0,535575.0,377220.0,529428.0,484194.0,172459.0,172459.0,529428.0,484194.0,554378.0,264247.0,554378.0,264247.0,172459.0,264247.0,529428.0,529428.0,264247.0,377220.0,554378.0,264247.0,264247.0,264247.0,529428.0,529428.0,484194.0,484194.0,29684.0,214391.0,214391.0,51616.0,51864.0,51864.0,31349.0,121649.0,127243.0,80946.0,48467.0,37044.0,57250.0,42276.0,126001.0,51411.0,120674.0,122689.0,120674.0,120674.0,47121.0,466228.0,214391.0,611259.0,497480.0,715296.0,769276.0,535575.0,443694.0,535575.0,443694.0,443694.0,535575.0,535575.0,769276.0,287988.0,210107.0,390372.0,194921.0,390372.0,65055.0,42276.0,121649.0,535575.0,377220.0,554378.0,443694.0,443694.0,535575.0,377220.0,715296.0,715296.0,443694.0,554378.0,554378.0,264247.0,377220.0,535575.0,443694.0,529428.0,529428.0,484194.0,554378.0,554378.0,264247.0,529428.0,172459.0,214391.0,214391.0,51616.0,38469.0,164979.0,51864.0,114192.0,65055.0,37044.0,127243.0,50371.0,44034.0,47121.0,127951.0,68955.0,65055.0,164979.0,80946.0
1,588451.0,630441.0,577763.0,630441.0,690458.0,690809.0,588451.0,588451.0,630441.0,599559.0,414950.0,530380.0,690809.0,690809.0,588451.0,588451.0,599559.0,690809.0,450365.0,530380.0,551226.0,551226.0,450365.0,506796.0,478620.0,690809.0,564526.0,530380.0,588451.0,588451.0,506796.0,462692.0,577763.0,551226.0,551226.0,564526.0,577763.0,588451.0,450365.0,488157.0,450365.0,599559.0,478620.0,599559.0,383367.0,545319.0,374735.0,244684.0,486630.0,387933.0,577763.0,450365.0,387933.0,506796.0,488157.0,387933.0,551226.0,564526.0,92963.0,233872.0,233872.0,251742.0,244684.0,277119.0,233872.0,244684.0,251742.0,233872.0,193057.0,169124.0,260935.0,186754.0,169124.0,233872.0,233872.0,193057.0,283412.0,304227.0,233872.0,233872.0,304227.0,193057.0,233872.0,233872.0,193057.0,251742.0,244684.0,277119.0,244684.0,260935.0,277119.0,244684.0,251742.0,260935.0,690809.0,374735.0,169124.0,193057.0,169124.0,169124.0,186754.0,193057.0,233872.0,121603.0,77323.0,77323.0,121603.0,121603.0,121603.0,193057.0,121603.0,186754.0,92963.0,77323.0,84883.0,89749.0,84883.0,58164.0,126106.0,126106.0,346079.0,364517.0,478620.0,373472.0,459165.0,414950.0,588451.0,690809.0,530380.0,690458.0,373472.0,186754.0,283412.0,283412.0,260935.0,283412.0,283412.0,260935.0,260935.0,283412.0,260935.0,260935.0,260935.0,260935.0,251742.0,260935.0,260935.0,251742.0,260935.0,233872.0,251742.0,244684.0,277119.0,233872.0,233872.0,193057.0,193057.0,233872.0,169124.0,193057.0,450365.0,450365.0,551226.0,564526.0,297570.0,530380.0,599559.0,551226.0,283412.0,277119.0,233872.0,251742.0,193057.0,690458.0,488157.0,551226.0,551226.0,690458.0,530380.0,530380.0,588451.0,530380.0,690809.0,577763.0,462692.0,403593.0,577763.0,530380.0,478620.0,506796.0,564526.0,486630.0,588451.0,564526.0,690809.0,630441.0,588451.0,478620.0,193057.0,564526.0,630441.0,459165.0,648210.0,364517.0,630441.0,648210.0,297570.0,690458.0,690458.0,690458.0,690458.0,364517.0,630441.0,630441.0,342166.0,690458.0,690458.0,690458.0,414950.0,690458.0,630441.0,396945.0,84883.0,577763.0,450365.0,588451.0,588451.0,690809.0,588451.0,506796.0,453537.0,403593.0,286721.0,396945.0,690809.0,530380.0,387933.0,690809.0,690458.0,564526.0,564526.0,530380.0,690809.0,478620.0,408232.0,373472.0,648210.0,690458.0,690458.0,648210.0,408232.0,346079.0,345868.0,364517.0,297570.0,308368.0
2,530380.0,690458.0,690809.0,690809.0,630441.0,690809.0,690809.0,564526.0,478620.0,478620.0,690458.0,564526.0,577763.0,564526.0,690458.0,564526.0,690809.0,690809.0,690458.0,690809.0,690809.0,588451.0,530380.0,690809.0,530380.0,530380.0,564526.0,564526.0,564526.0,588451.0,506796.0,530380.0,690809.0,530380.0,530380.0,588451.0,506796.0,530380.0,588451.0,588451.0,588451.0,588451.0,564526.0,186754.0,373472.0,599559.0,396945.0,283412.0,283412.0,99856.0,387933.0,453537.0,462692.0,387933.0,462692.0,387933.0,450365.0,551226.0,169124.0,169124.0,99856.0,193057.0,251742.0,233872.0,244684.0,244684.0,233872.0,193057.0,193057.0,193057.0,260935.0,283412.0,283412.0,186754.0,186754.0,169124.0,260935.0,304227.0,193057.0,193057.0,193057.0,193057.0,193057.0,233872.0,244684.0,244684.0,244684.0,260935.0,260935.0,244684.0,233872.0,233872.0,277119.0,530380.0,387933.0,690458.0,283412.0,233872.0,193057.0,233872.0,121603.0,345868.0,599559.0,506796.0,506796.0,530380.0,690809.0,530380.0,690809.0,630441.0,630441.0,630441.0,414950.0,459165.0,408232.0,364517.0,345868.0,346079.0,346079.0,373472.0,459165.0,373472.0,459165.0,630441.0,630441.0,630441.0,690458.0,530380.0,564526.0,58164.0,244684.0,260935.0,277119.0,283412.0,277119.0,260935.0,251742.0,233872.0,283412.0,251742.0,260935.0,260935.0,244684.0,260935.0,283412.0,283412.0,244684.0,283412.0,283412.0,233872.0,304227.0,251742.0,260935.0,283412.0,193057.0,233872.0,193057.0,193057.0,169124.0,186754.0,486630.0,462692.0,551226.0,58164.0,408232.0,530380.0,690809.0,530380.0,690809.0,396945.0,260935.0,277119.0,244684.0,690458.0,577763.0,577763.0,577763.0,551226.0,506796.0,506796.0,506796.0,530380.0,588451.0,530380.0,486630.0,453537.0,488157.0,551226.0,551226.0,588451.0,530380.0,530380.0,690809.0,564526.0,506796.0,564526.0,564526.0,89749.0,396945.0,690809.0,408232.0,269277.0,297570.0,648210.0,364517.0,648210.0,343707.0,630441.0,630441.0,644913.0,364517.0,342166.0,364517.0,630441.0,630441.0,408232.0,630441.0,630441.0,630441.0,630441.0,346079.0,630441.0,403593.0,690809.0,577763.0,564526.0,588451.0,506796.0,530380.0,506796.0,343983.0,403593.0,84883.0,396945.0,387933.0,588451.0,530380.0,564526.0,530380.0,564526.0,630441.0,599559.0,630441.0,648210.0,297570.0,459165.0,648210.0,630441.0,690458.0,690458.0,690458.0,648210.0,342166.0,630441.0,690458.0,297570.0
3,577763.0,690809.0,690458.0,690458.0,690458.0,690809.0,599559.0,690458.0,690458.0,630441.0,690809.0,690809.0,530380.0,690809.0,690458.0,564526.0,530380.0,690809.0,690809.0,588451.0,564526.0,564526.0,564526.0,588451.0,564526.0,588451.0,530380.0,530380.0,588451.0,577763.0,530380.0,588451.0,530380.0,530380.0,564526.0,588451.0,588451.0,530380.0,577763.0,588451.0,506796.0,506796.0,506796.0,564526.0,99856.0,373472.0,383367.0,396945.0,283412.0,277119.0,244684.0,450365.0,486630.0,488157.0,328681.0,462692.0,486630.0,450365.0,244684.0,260935.0,193057.0,193057.0,233872.0,251742.0,244684.0,233872.0,193057.0,233872.0,193057.0,169124.0,169124.0,186754.0,193057.0,186754.0,186754.0,283412.0,233872.0,169124.0,193057.0,304227.0,169124.0,193057.0,233872.0,233872.0,244684.0,244684.0,251742.0,260935.0,244684.0,169124.0,193057.0,277119.0,599559.0,690458.0,387933.0,530380.0,403593.0,374735.0,251742.0,408232.0,588451.0,577763.0,577763.0,577763.0,506796.0,690458.0,530380.0,530380.0,530380.0,564526.0,530380.0,690809.0,690809.0,564526.0,564526.0,690809.0,630441.0,630441.0,690458.0,564526.0,690809.0,690458.0,630441.0,564526.0,564526.0,530380.0,530380.0,690458.0,70522.0,244684.0,260935.0,277119.0,277119.0,277119.0,277119.0,260935.0,244684.0,233872.0,233872.0,233872.0,260935.0,251742.0,260935.0,283412.0,233872.0,244684.0,193057.0,193057.0,193057.0,193057.0,251742.0,260935.0,260935.0,233872.0,193057.0,233872.0,233872.0,233872.0,244684.0,486630.0,328681.0,304227.0,453537.0,89749.0,690458.0,530380.0,564526.0,530380.0,387933.0,690458.0,478620.0,283412.0,277119.0,251742.0,233872.0,530380.0,588451.0,577763.0,551226.0,588451.0,577763.0,551226.0,506796.0,530380.0,564526.0,588451.0,551226.0,551226.0,506796.0,506796.0,506796.0,690809.0,564526.0,530380.0,690809.0,564526.0,99856.0,283412.0,630441.0,459165.0,269277.0,364517.0,297570.0,648210.0,364517.0,690458.0,630441.0,690458.0,371752.0,630441.0,342166.0,630441.0,630441.0,630441.0,373472.0,408232.0,387933.0,630441.0,346079.0,630441.0,630441.0,630441.0,630441.0,374735.0,588451.0,506796.0,530380.0,588451.0,506796.0,450365.0,396945.0,403593.0,233872.0,396945.0,530380.0,530380.0,690458.0,690809.0,564526.0,690458.0,599559.0,630441.0,599559.0,297570.0,648210.0,297570.0,373472.0,408232.0,364517.0,648210.0,690458.0,690458.0,364517.0,690458.0,630441.0,297570.0
4,577763.0,599559.0,599559.0,478620.0,630441.0,690809.0,478620.0,599559.0,599559.0,630441.0,630441.0,599559.0,478620.0,599559.0,564526.0,690458.0,564526.0,690458.0,690458.0,690809.0,564526.0,564526.0,690809.0,530380.0,588451.0,588451.0,506796.0,564526.0,506796.0,551226.0,577763.0,530380.0,530380.0,506796.0,588451.0,506796.0,588451.0,564526.0,506796.0,588451.0,530380.0,530380.0,690809.0,564526.0,564526.0,70522.0,373472.0,459165.0,403593.0,277119.0,277119.0,277119.0,193057.0,530380.0,551226.0,450365.0,506796.0,121603.0,251742.0,260935.0,169124.0,99856.0,169124.0,251742.0,251742.0,251742.0,193057.0,193057.0,193057.0,169124.0,233872.0,121603.0,265950.0,99856.0,265950.0,186754.0,186754.0,186754.0,169124.0,283412.0,169124.0,283412.0,169124.0,193057.0,233872.0,244684.0,251742.0,251742.0,193057.0,169124.0,260935.0,387933.0,478620.0,387933.0,530380.0,545319.0,396945.0,277119.0,564526.0,564526.0,530380.0,588451.0,690809.0,690809.0,564526.0,690458.0,690809.0,690809.0,630441.0,599559.0,630441.0,690458.0,690809.0,690809.0,690809.0,690809.0,690458.0,690458.0,690809.0,690809.0,564526.0,690809.0,690809.0,690809.0,690458.0,530380.0,690809.0,70522.0,277119.0,277119.0,260935.0,277119.0,277119.0,277119.0,277119.0,233872.0,233872.0,233872.0,193057.0,251742.0,260935.0,260935.0,244684.0,193057.0,233872.0,244684.0,233872.0,193057.0,193057.0,193057.0,233872.0,283412.0,283412.0,233872.0,244684.0,193057.0,244684.0,244684.0,233872.0,551226.0,453537.0,328681.0,286721.0,84883.0,459165.0,577763.0,304227.0,283412.0,530380.0,648210.0,630441.0,530380.0,690458.0,346079.0,506796.0,630441.0,630441.0,486630.0,690458.0,459165.0,260935.0,450365.0,551226.0,387933.0,588451.0,588451.0,530380.0,690809.0,690809.0,588451.0,530380.0,564526.0,564526.0,630441.0,599559.0,193057.0,251742.0,545319.0,690458.0,373472.0,364517.0,297570.0,297570.0,648210.0,297570.0,297570.0,343707.0,342166.0,630441.0,342166.0,690458.0,630441.0,364517.0,630441.0,644913.0,644913.0,373472.0,630441.0,630441.0,408232.0,644913.0,345868.0,346079.0,630441.0,374735.0,588451.0,551226.0,506796.0,530380.0,450365.0,328681.0,343983.0,260935.0,374735.0,403593.0,530380.0,630441.0,690458.0,690809.0,630441.0,478620.0,690458.0,648210.0,408232.0,373472.0,648210.0,364517.0,364517.0,364517.0,690458.0,690458.0,364517.0,648210.0,690458.0,342166.0,297570.0
5,286721.0,690458.0,478620.0,630441.0,630441.0,599559.0,478620.0,599559.0,690458.0,599559.0,599559.0,630441.0,630441.0,599559.0,630441.0,599559.0,690458.0,690458.0,690458.0,599559.0,690458.0,690809.0,690458.0,588451.0,588451.0,530380.0,577763.0,588451.0,577763.0,551226.0,577763.0,530380.0,564526.0,506796.0,530380.0,506796.0,506796.0,588451.0,577763.0,506796.0,690809.0,530380.0,506796.0,564526.0,530380.0,577763.0,690458.0,396945.0,530380.0,478620.0,374735.0,260935.0,277119.0,374735.0,283412.0,283412.0,277119.0,374735.0,277119.0,251742.0,99856.0,77323.0,233872.0,251742.0,251742.0,251742.0,244684.0,193057.0,193057.0,193057.0,169124.0,251742.0,121603.0,121603.0,99856.0,121603.0,99856.0,121603.0,121603.0,186754.0,186754.0,244684.0,233872.0,304227.0,233872.0,251742.0,233872.0,186754.0,193057.0,396945.0,530380.0,644913.0,387933.0,530380.0,690458.0,403593.0,277119.0,577763.0,564526.0,630441.0,690809.0,530380.0,690458.0,630441.0,690458.0,690809.0,690458.0,630441.0,630441.0,599559.0,630441.0,630441.0,630441.0,630441.0,630441.0,690458.0,630441.0,690458.0,630441.0,630441.0,630441.0,630441.0,630441.0,690809.0,630441.0,599559.0,599559.0,408232.0,260935.0,545319.0,374735.0,277119.0,277119.0,260935.0,260935.0,283412.0,193057.0,193057.0,283412.0,304227.0,260935.0,233872.0,233872.0,193057.0,193057.0,193057.0,193057.0,193057.0,169124.0,193057.0,233872.0,233872.0,283412.0,283412.0,233872.0,233872.0,233872.0,251742.0,186754.0,450365.0,450365.0,186754.0,462692.0,121603.0,387933.0,283412.0,277119.0,283412.0,403593.0,387933.0,478620.0,630441.0,414950.0,297570.0,297570.0,630441.0,648210.0,478620.0,690458.0,373472.0,373472.0,396945.0,89749.0,387933.0,387933.0,450365.0,588451.0,564526.0,588451.0,530380.0,588451.0,506796.0,506796.0,690809.0,193057.0,251742.0,383367.0,630441.0,648210.0,648210.0,364517.0,297570.0,297570.0,690458.0,648210.0,690458.0,690458.0,343707.0,630441.0,371752.0,630441.0,630441.0,630441.0,644913.0,387933.0,364517.0,373472.0,387933.0,459165.0,408232.0,387933.0,364517.0,630441.0,630441.0,408232.0,169124.0,506796.0,506796.0,530380.0,450365.0,328681.0,343983.0,277119.0,251742.0,277119.0,564526.0,530380.0,564526.0,564526.0,564526.0,630441.0,478620.0,297570.0,408232.0,408232.0,648210.0,364517.0,690458.0,630441.0,630441.0,342166.0,345868.0,364517.0,297570.0,342166.0,269277.0
6,265950.0,564526.0,690458.0,690458.0,690458.0,599559.0,630441.0,690458.0,630441.0,630441.0,630441.0,630441.0,690809.0,690458.0,690458.0,690458.0,690809.0,564526.0,564526.0,690458.0,690809.0,690809.0,690458.0,564526.0,530380.0,530380.0,506796.0,506796.0,530380.0,551226.0,588451.0,564526.0,530380.0,506796.0,588451.0,588451.0,588451.0,690809.0,588451.0,588451.0,588451.0,690809.0,588451.0,530380.0,564526.0,588451.0,588451.0,690809.0,283412.0,530380.0,599559.0,374735.0,374735.0,374735.0,396945.0,396945.0,564526.0,564526.0,403593.0,251742.0,244684.0,244684.0,244684.0,260935.0,260935.0,244684.0,244684.0,244684.0,233872.0,193057.0,169124.0,186754.0,283412.0,186754.0,99856.0,99856.0,169124.0,121603.0,217075.0,99856.0,99856.0,186754.0,186754.0,193057.0,251742.0,251742.0,193057.0,233872.0,403593.0,530380.0,690458.0,387933.0,530380.0,530380.0,564526.0,251742.0,577763.0,577763.0,530380.0,588451.0,530380.0,530380.0,690458.0,690458.0,690458.0,630441.0,690458.0,690458.0,630441.0,630441.0,630441.0,630441.0,690458.0,690458.0,599559.0,630441.0,599559.0,690458.0,690458.0,630441.0,690458.0,630441.0,414950.0,630441.0,630441.0,599559.0,630441.0,630441.0,599559.0,373472.0,283412.0,403593.0,283412.0,260935.0,251742.0,251742.0,233872.0,233872.0,244684.0,283412.0,193057.0,233872.0,244684.0,233872.0,233872.0,193057.0,193057.0,193057.0,193057.0,233872.0,244684.0,283412.0,244684.0,244684.0,251742.0,304227.0,251742.0,260935.0,84883.0,486630.0,506796.0,121603.0,644913.0,387933.0,304227.0,244684.0,283412.0,251742.0,286721.0,396945.0,488157.0,343983.0,387933.0,373472.0,364517.0,530380.0,564526.0,690458.0,408232.0,373472.0,297570.0,599559.0,690458.0,387933.0,77323.0,450365.0,488157.0,486630.0,588451.0,564526.0,506796.0,506796.0,551226.0,233872.0,277119.0,403593.0,459165.0,690458.0,648210.0,297570.0,364517.0,343707.0,648210.0,648210.0,297570.0,648210.0,690458.0,308368.0,308368.0,630441.0,308368.0,630441.0,343707.0,630441.0,630441.0,644913.0,630441.0,630441.0,459165.0,630441.0,345868.0,408232.0,387933.0,387933.0,408232.0,387933.0,690458.0,530380.0,690809.0,488157.0,328681.0,58164.0,99856.0,92963.0,251742.0,506796.0,690458.0,564526.0,564526.0,690809.0,599559.0,478620.0,478620.0,297570.0,373472.0,690458.0,408232.0,342166.0,630441.0,364517.0,364517.0,630441.0,408232.0,269277.0,630441.0,364517.0
7,233872.0,599559.0,690458.0,690809.0,630441.0,690458.0,690458.0,599559.0,690458.0,599559.0,599559.0,599559.0,599559.0,599559.0,478620.0,459165.0,478620.0,599559.0,564526.0,690809.0,530380.0,530380.0,564526.0,564526.0,564526.0,564526.0,577763.0,450365.0,577763.0,506796.0,530380.0,690809.0,530380.0,588451.0,530380.0,690809.0,690809.0,690809.0,564526.0,530380.0,690809.0,690458.0,530380.0,564526.0,690809.0,530380.0,530380.0,530380.0,588451.0,121603.0,540245.0,530380.0,383367.0,564526.0,374735.0,396945.0,403593.0,564526.0,545319.0,244684.0,244684.0,251742.0,260935.0,251742.0,251742.0,251742.0,244684.0,193057.0,193057.0,244684.0,193057.0,193057.0,233872.0,304227.0,283412.0,193057.0,193057.0,75078.0,75078.0,193057.0,193057.0,193057.0,169124.0,233872.0,244684.0,193057.0,233872.0,396945.0,387933.0,387933.0,530380.0,530380.0,530380.0,577763.0,58164.0,506796.0,588451.0,588451.0,564526.0,564526.0,564526.0,564526.0,690458.0,564526.0,564526.0,630441.0,690458.0,690458.0,630441.0,690809.0,690809.0,630441.0,630441.0,690458.0,630441.0,690458.0,630441.0,630441.0,690458.0,630441.0,630441.0,599559.0,630441.0,630441.0,630441.0,630441.0,690458.0,630441.0,690458.0,414950.0,459165.0,373472.0,374735.0,277119.0,260935.0,244684.0,283412.0,233872.0,233872.0,244684.0,233872.0,193057.0,233872.0,233872.0,233872.0,193057.0,193057.0,193057.0,193057.0,193057.0,193057.0,233872.0,244684.0,251742.0,260935.0,277119.0,283412.0,260935.0,450365.0,453537.0,450365.0,77323.0,530380.0,373472.0,530380.0,193057.0,251742.0,251742.0,283412.0,283412.0,169124.0,169124.0,577763.0,346079.0,690458.0,599559.0,478620.0,373472.0,648210.0,364517.0,269277.0,408232.0,478620.0,297570.0,269277.0,530380.0,530380.0,453537.0,462692.0,551226.0,506796.0,530380.0,564526.0,374735.0,396945.0,387933.0,630441.0,345868.0,690458.0,648210.0,364517.0,648210.0,648210.0,648210.0,690458.0,308368.0,342166.0,308368.0,371752.0,630441.0,630441.0,343707.0,630441.0,630441.0,342166.0,630441.0,387933.0,644913.0,387933.0,459165.0,408232.0,387933.0,387933.0,387933.0,346079.0,408232.0,283412.0,564526.0,506796.0,343983.0,403593.0,343983.0,450365.0,84883.0,193057.0,283412.0,564526.0,690809.0,564526.0,599559.0,297570.0,297570.0,297570.0,269277.0,297570.0,648210.0,364517.0,345868.0,630441.0,364517.0,364517.0,346079.0,648210.0,364517.0,364517.0,690458.0
8,217075.0,630441.0,630441.0,599559.0,414950.0,459165.0,373472.0,345868.0,373472.0,346079.0,342166.0,342166.0,343707.0,297570.0,203066.0,335119.0,308368.0,343707.0,345868.0,478620.0,564526.0,564526.0,690809.0,588451.0,564526.0,588451.0,577763.0,551226.0,588451.0,588451.0,506796.0,690809.0,530380.0,588451.0,530380.0,564526.0,690809.0,564526.0,564526.0,564526.0,690809.0,530380.0,506796.0,530380.0,506796.0,530380.0,564526.0,690809.0,577763.0,588451.0,690809.0,251742.0,530380.0,373472.0,530380.0,690809.0,630441.0,599559.0,396945.0,233872.0,121603.0,233872.0,244684.0,251742.0,251742.0,244684.0,233872.0,233872.0,233872.0,251742.0,251742.0,374735.0,283412.0,244684.0,193057.0,77323.0,251742.0,244684.0,260935.0,84883.0,186754.0,244684.0,251742.0,283412.0,244684.0,244684.0,545319.0,387933.0,530380.0,530380.0,530380.0,387933.0,193057.0,588451.0,506796.0,588451.0,530380.0,588451.0,690809.0,630441.0,690458.0,690458.0,630441.0,690458.0,690458.0,690458.0,690458.0,690458.0,630441.0,630441.0,690458.0,630441.0,630441.0,630441.0,630441.0,630441.0,690458.0,690458.0,630441.0,599559.0,599559.0,599559.0,630441.0,690458.0,690458.0,630441.0,630441.0,690458.0,690458.0,690458.0,690458.0,414950.0,459165.0,169124.0,396945.0,260935.0,244684.0,233872.0,193057.0,193057.0,193057.0,193057.0,233872.0,233872.0,244684.0,233872.0,193057.0,193057.0,193057.0,193057.0,283412.0,244684.0,304227.0,260935.0,283412.0,396945.0,283412.0,89749.0,486630.0,84883.0,186754.0,233872.0,599559.0,345868.0,387933.0,283412.0,233872.0,283412.0,283412.0,251742.0,169124.0,233872.0,403593.0,414950.0,630441.0,478620.0,373472.0,387933.0,530380.0,690458.0,690458.0,648210.0,478620.0,599559.0,599559.0,478620.0,373472.0,186754.0,233872.0,126385.0,453537.0,690809.0,244684.0,283412.0,478620.0,630441.0,373472.0,648210.0,364517.0,364517.0,648210.0,648210.0,690458.0,690458.0,690458.0,308368.0,630441.0,630441.0,630441.0,630441.0,630441.0,371752.0,644913.0,644913.0,630441.0,644913.0,644913.0,364517.0,408232.0,387933.0,459165.0,530380.0,530380.0,387933.0,630441.0,690458.0,630441.0,564526.0,387933.0,304227.0,403593.0,403593.0,387933.0,530380.0,193057.0,564526.0,690809.0,690458.0,630441.0,373472.0,648210.0,373472.0,408232.0,648210.0,648210.0,364517.0,364517.0,345868.0,364517.0,644913.0,648210.0,364517.0,364517.0,364517.0,690458.0,364517.0
9,180741.0,690458.0,478620.0,373472.0,342166.0,371752.0,308368.0,335119.0,218197.0,203066.0,218197.0,58164.0,70522.0,77323.0,99856.0,99856.0,186754.0,99856.0,121603.0,84883.0,371752.0,599559.0,690809.0,506796.0,588451.0,588451.0,506796.0,588451.0,530380.0,506796.0,551226.0,588451.0,588451.0,506796.0,530380.0,530380.0,588451.0,564526.0,690809.0,530380.0,690809.0,530380.0,588451.0,588451.0,577763.0,588451.0,577763.0,530380.0,588451.0,588451.0,506796.0,506796.0,690809.0,169124.0,540245.0,408232.0,530380.0,545319.0,283412.0,186754.0,70522.0,121603.0,233872.0,260935.0,251742.0,244684.0,251742.0,260935.0,374735.0,374735.0,121603.0,478620.0,690458.0,564526.0,530380.0,690809.0,343983.0,304227.0,551226.0,599559.0,630441.0,564526.0,599559.0,414950.0,283412.0,630441.0,478620.0,530380.0,530380.0,459165.0,387933.0,690458.0,588451.0,588451.0,588451.0,564526.0,564526.0,564526.0,690458.0,690458.0,690458.0,690458.0,630441.0,630441.0,690458.0,630441.0,630441.0,690458.0,599559.0,630441.0,630441.0,599559.0,599559.0,599559.0,690458.0,690809.0,599559.0,690458.0,630441.0,690458.0,599559.0,630441.0,630441.0,690458.0,690809.0,690458.0,690809.0,690458.0,690458.0,690809.0,690458.0,690458.0,630441.0,414950.0,459165.0,396945.0,277119.0,244684.0,193057.0,169124.0,169124.0,193057.0,233872.0,233872.0,244684.0,233872.0,233872.0,233872.0,244684.0,283412.0,260935.0,260935.0,277119.0,374735.0,374735.0,277119.0,186754.0,486630.0,99856.0,233872.0,99856.0,260935.0,530380.0,644913.0,630441.0,577763.0,244684.0,260935.0,343983.0,260935.0,233872.0,304227.0,383367.0,373472.0,690458.0,690458.0,690458.0,343983.0,283412.0,644913.0,690458.0,373472.0,478620.0,630441.0,630441.0,478620.0,648210.0,408232.0,374735.0,260935.0,328681.0,251742.0,396945.0,545319.0,599559.0,599559.0,690458.0,690458.0,364517.0,364517.0,364517.0,269277.0,648210.0,648210.0,690458.0,690458.0,690458.0,630441.0,387933.0,630441.0,364517.0,630441.0,364517.0,630441.0,630441.0,630441.0,345868.0,644913.0,630441.0,478620.0,530380.0,530380.0,387933.0,387933.0,630441.0,690458.0,459165.0,169124.0,453537.0,286721.0,283412.0,328681.0,551226.0,77323.0,374735.0,564526.0,690809.0,630441.0,269277.0,408232.0,373472.0,648210.0,373472.0,297570.0,648210.0,648210.0,648210.0,648210.0,648210.0,345868.0,364517.0,648210.0,297570.0,297570.0,648210.0,297570.0
