,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,251346.0,286586.0,634509.0,927942.0,580891.0,470191.0,71127.0,104629.0,71127.0,104629.0,104629.0,71127.0,166210.0,165377.0,88389.0,140719.0,165377.0,88389.0,165377.0,135988.0,136418.0,104629.0,104629.0,164663.0,136537.0,166210.0,71127.0,166210.0,166210.0,71127.0,140719.0,88389.0,71127.0,104629.0,135988.0,104629.0,136418.0,97620.0,104629.0,71127.0,88389.0,88389.0,166210.0,97620.0,124542.0,97620.0,136418.0,470191.0,97126.0,71127.0,88389.0,71127.0,88389.0,71127.0,164663.0,138985.0,104629.0,82605.0,135988.0,136537.0,125137.0,71127.0,470191.0,593126.0,216147.0,651197.0,470191.0,312298.0,312298.0,312298.0,312298.0,310573.0,312298.0,216147.0,82605.0,690146.0,651197.0,470191.0,97620.0,104629.0,312298.0,470191.0,97620.0,118384.0,690146.0,651197.0,470191.0,216147.0,312298.0,312298.0,470191.0,690146.0,97620.0,97620.0,136537.0,690146.0,470191.0,651197.0,651197.0,95759.0,97126.0,82605.0,312298.0,82605.0,216147.0,593126.0,580891.0,593126.0,95759.0,216147.0,216147.0,470191.0,82605.0,312298.0,310573.0,312298.0,216147.0,470191.0,470191.0,470191.0,651197.0,135988.0,165377.0,165377.0,71127.0,136418.0,136418.0,166210.0,97620.0,136418.0,136537.0,156656.0,690146.0,136537.0,166210.0,71127.0,310573.0,360225.0,192669.0,181029.0,219969.0,219969.0,192669.0,337132.0,192669.0,466686.0,550246.0,634509.0,634509.0,550246.0,550246.0,413599.0,413599.0,379709.0,360225.0,360225.0,634509.0,413599.0,634509.0,379709.0,361784.0,360225.0,413599.0,550246.0,466686.0,365653.0,466686.0,379709.0,622268.0,582913.0,622268.0,413599.0,634509.0,413599.0,630889.0,580891.0,310573.0,580891.0,580891.0,580891.0,651197.0,138985.0,166210.0,97620.0,97620.0,470191.0,470191.0,310573.0,82605.0,470191.0,135988.0,165377.0,706676.0,711220.0,354260.0,354260.0,354260.0,354260.0,365653.0,365653.0,219969.0,166271.0,192669.0,166271.0,181029.0,240486.0,242868.0,294454.0,240486.0,176490.0,361784.0,703528.0,593126.0,927942.0,237786.0,192669.0,219969.0,237786.0,176490.0,240486.0,181029.0,219969.0,361784.0,361784.0,550246.0,634509.0,550246.0,361784.0,365653.0,360225.0,622268.0,630889.0,413599.0,354260.0,361784.0,354260.0,360225.0,360225.0,354260.0,354260.0,360225.0,379709.0,413599.0,630889.0,706676.0,310573.0,470191.0,216147.0,690146.0,651197.0,470191.0,216147.0,216147.0,310573.0,310573.0,593126.0
1,377830.0,223922.0,246788.0,173424.0,69496.0,69496.0,166603.0,212555.0,183024.0,246788.0,212555.0,329941.0,209184.0,69496.0,176666.0,199586.0,69496.0,176666.0,173424.0,199586.0,329941.0,166603.0,209184.0,166603.0,329941.0,212555.0,212555.0,173424.0,173424.0,173424.0,199586.0,183024.0,209184.0,329941.0,183024.0,251346.0,199586.0,166603.0,95876.0,69496.0,329941.0,199586.0,173424.0,199586.0,329941.0,69496.0,73792.0,90725.0,329941.0,114209.0,73792.0,69496.0,212555.0,166603.0,114209.0,114209.0,173424.0,329941.0,329941.0,209184.0,95876.0,69496.0,329941.0,183024.0,209184.0,95876.0,73792.0,90725.0,83754.0,83754.0,286586.0,197032.0,62263.0,62263.0,62263.0,62263.0,62263.0,90725.0,73792.0,90216.0,114209.0,105274.0,83754.0,90725.0,83754.0,73792.0,69496.0,329941.0,212555.0,183024.0,246788.0,251346.0,199586.0,329941.0,209184.0,69496.0,199586.0,246788.0,433472.0,231847.0,231847.0,433472.0,183024.0,173424.0,329941.0,199586.0,183024.0,246788.0,183024.0,173424.0,166603.0,90216.0,433472.0,433472.0,433472.0,433472.0,433472.0,275387.0,223922.0,225676.0,251346.0,183024.0,212555.0,199586.0,199586.0,199586.0,212555.0,183024.0,246788.0,212555.0,173424.0,173424.0,166603.0,69496.0,114209.0,73792.0,83754.0,90725.0,62263.0,91123.0,128883.0,71523.0,84660.0,62263.0,128883.0,77944.0,151637.0,151637.0,84660.0,151637.0,181294.0,95759.0,181294.0,84660.0,77944.0,95759.0,82605.0,97126.0,181294.0,77944.0,197032.0,197269.0,159632.0,170805.0,114209.0,209184.0,69496.0,78568.0,71523.0,72765.0,95759.0,199541.0,165793.0,286586.0,114209.0,69496.0,90216.0,114209.0,73792.0,105274.0,95876.0,176666.0,173424.0,173424.0,166603.0,69496.0,90216.0,209184.0,173424.0,212555.0,199586.0,329941.0,95876.0,114209.0,95876.0,95876.0,73792.0,90725.0,83754.0,69496.0,209184.0,329941.0,329941.0,329941.0,329941.0,199586.0,251346.0,225676.0,142999.0,69496.0,225676.0,275387.0,223922.0,251346.0,173424.0,209184.0,209184.0,69496.0,176666.0,199586.0,199586.0,69496.0,90216.0,114209.0,90725.0,165793.0,62263.0,105274.0,209184.0,73792.0,72765.0,120699.0,239348.0,62263.0,90725.0,62263.0,91123.0,83093.0,83093.0,73792.0,73792.0,83754.0,105274.0,95876.0,209184.0,329941.0,212555.0,183024.0,246788.0,246788.0,225676.0,246788.0,246788.0,246788.0,246788.0,246788.0
2,677030.0,677030.0,535240.0,471803.0,689092.0,772149.0,648550.0,496270.0,411659.0,411659.0,496270.0,471803.0,648550.0,689092.0,648550.0,535240.0,532947.0,689092.0,471803.0,529848.0,529848.0,446979.0,471803.0,487342.0,471803.0,446979.0,529848.0,446979.0,535240.0,535240.0,535240.0,535240.0,744858.0,648550.0,487342.0,529848.0,446979.0,535240.0,772149.0,744858.0,778704.0,535240.0,471803.0,275387.0,358289.0,134180.0,510951.0,433472.0,367870.0,142999.0,586926.0,615037.0,532947.0,532947.0,615037.0,615037.0,744858.0,648550.0,231847.0,335543.0,309914.0,420051.0,433472.0,309914.0,615037.0,335543.0,309914.0,737617.0,737617.0,354877.0,329941.0,737617.0,420051.0,420051.0,420051.0,420051.0,433472.0,492641.0,581462.0,581462.0,737617.0,737617.0,492641.0,586926.0,420051.0,275387.0,420051.0,586926.0,586926.0,737617.0,737617.0,309914.0,770367.0,202688.0,134180.0,446979.0,433472.0,492641.0,581462.0,433472.0,152886.0,72765.0,496270.0,487342.0,689092.0,648550.0,471803.0,529848.0,529848.0,471803.0,689092.0,772149.0,504967.0,504967.0,504967.0,504967.0,358289.0,358289.0,430936.0,561960.0,439217.0,439217.0,97126.0,95759.0,496270.0,496270.0,496270.0,411659.0,358289.0,91123.0,329941.0,581462.0,770367.0,510951.0,615037.0,737617.0,420051.0,367870.0,433472.0,586926.0,737617.0,275387.0,241162.0,231847.0,737617.0,354877.0,275387.0,367870.0,367870.0,420051.0,420051.0,367870.0,367870.0,367870.0,329941.0,292713.0,258606.0,241162.0,329941.0,367870.0,737617.0,581462.0,581462.0,173424.0,510951.0,134180.0,496270.0,596683.0,648550.0,629728.0,492641.0,354877.0,142999.0,128883.0,529848.0,487342.0,446979.0,471803.0,446979.0,471803.0,487342.0,487342.0,471803.0,471803.0,648550.0,778704.0,661761.0,532947.0,772149.0,535240.0,487342.0,535240.0,411659.0,529848.0,446979.0,97126.0,159079.0,183024.0,581462.0,411659.0,358289.0,228281.0,157568.0,228281.0,228281.0,459598.0,318073.0,202688.0,318073.0,318073.0,510951.0,134180.0,40201.0,228281.0,510951.0,615037.0,318073.0,318073.0,615037.0,228281.0,228281.0,228281.0,275387.0,159079.0,529848.0,471803.0,487342.0,496270.0,411659.0,471803.0,744858.0,615037.0,241162.0,335543.0,615037.0,648550.0,535240.0,471803.0,446979.0,471803.0,487342.0,157568.0,529848.0,411659.0,157568.0,157568.0,157568.0,318073.0,109831.0,40201.0,40201.0,109831.0,109831.0,109831.0,109831.0,109831.0
3,584428.0,772149.0,411659.0,439217.0,496270.0,496270.0,561960.0,358289.0,358289.0,439217.0,411659.0,439217.0,561960.0,439217.0,411659.0,496270.0,446979.0,496270.0,430936.0,430936.0,430936.0,561960.0,411659.0,496270.0,496270.0,496270.0,496270.0,529848.0,446979.0,471803.0,471803.0,529848.0,411659.0,529848.0,446979.0,496270.0,411659.0,439217.0,496270.0,529848.0,471803.0,471803.0,471803.0,78568.0,586926.0,157568.0,318073.0,71523.0,510951.0,586926.0,231847.0,73792.0,689092.0,772149.0,689092.0,689092.0,535240.0,83093.0,335543.0,459598.0,770367.0,309914.0,510951.0,134180.0,134180.0,496270.0,151637.0,648550.0,772149.0,615037.0,581462.0,586926.0,510951.0,510951.0,367870.0,586926.0,737617.0,581462.0,615037.0,689092.0,615037.0,677030.0,661761.0,772149.0,596683.0,459598.0,596683.0,629728.0,629728.0,318073.0,459598.0,228281.0,313342.0,228281.0,36125.0,358289.0,318073.0,77944.0,433472.0,69496.0,358289.0,529848.0,529848.0,471803.0,535240.0,487342.0,529848.0,411659.0,411659.0,496270.0,529848.0,446979.0,439217.0,439217.0,561960.0,439217.0,561960.0,561960.0,561960.0,561960.0,561960.0,561960.0,561960.0,561960.0,561960.0,439217.0,411659.0,97126.0,367870.0,581462.0,596683.0,596683.0,770367.0,629728.0,778704.0,615037.0,492641.0,586926.0,737617.0,581462.0,335543.0,492641.0,737617.0,367870.0,275387.0,420051.0,433472.0,433472.0,737617.0,737617.0,309914.0,335543.0,309914.0,737617.0,433472.0,433472.0,335543.0,107423.0,329941.0,420051.0,584428.0,615037.0,661761.0,231847.0,629728.0,97126.0,134180.0,596683.0,228281.0,157568.0,134180.0,770367.0,309914.0,367870.0,181301.0,116479.0,78568.0,78568.0,159079.0,95759.0,496270.0,496270.0,529848.0,446979.0,471803.0,535240.0,535240.0,648550.0,535240.0,487342.0,529848.0,411659.0,439217.0,439217.0,97126.0,138606.0,152730.0,737617.0,202688.0,40201.0,202688.0,109831.0,134180.0,134180.0,157568.0,134180.0,40201.0,269749.0,134180.0,157568.0,36125.0,36125.0,84660.0,151637.0,134180.0,459598.0,596683.0,596683.0,318073.0,71523.0,126466.0,134180.0,510951.0,354877.0,430936.0,561960.0,561960.0,504967.0,504967.0,439217.0,535240.0,78568.0,433472.0,629728.0,596683.0,411659.0,439217.0,36125.0,109831.0,202688.0,430936.0,358289.0,504967.0,318073.0,202688.0,28532.0,43504.0,134180.0,40201.0,40201.0,40201.0,40201.0,40201.0,134180.0,134180.0,134180.0
4,436359.0,586926.0,772149.0,689092.0,532947.0,744858.0,648550.0,535240.0,778704.0,584428.0,584428.0,532947.0,648550.0,689092.0,744858.0,677030.0,661761.0,744858.0,689092.0,648550.0,772149.0,661761.0,584428.0,737617.0,737617.0,577368.0,737617.0,577368.0,492641.0,492641.0,581462.0,584428.0,744858.0,677030.0,577368.0,581462.0,584428.0,677030.0,744858.0,744858.0,532947.0,737617.0,581462.0,581462.0,584428.0,778704.0,367870.0,358289.0,433472.0,420051.0,354877.0,183024.0,116479.0,91123.0,577368.0,584428.0,615037.0,116479.0,354877.0,354877.0,152730.0,107423.0,181301.0,420051.0,329941.0,275387.0,329941.0,354877.0,258606.0,335543.0,258606.0,275387.0,225676.0,246788.0,251346.0,69496.0,212555.0,251346.0,275387.0,292713.0,433472.0,433472.0,292713.0,231847.0,329941.0,420051.0,275387.0,241162.0,354877.0,420051.0,737617.0,492641.0,492641.0,586926.0,335543.0,615037.0,309914.0,142999.0,584428.0,744858.0,778704.0,532947.0,584428.0,581462.0,581462.0,737617.0,615037.0,532947.0,661761.0,661761.0,778704.0,772149.0,581462.0,577368.0,584428.0,584428.0,584428.0,584428.0,615037.0,677030.0,778704.0,689092.0,778704.0,744858.0,532947.0,677030.0,737617.0,581462.0,586926.0,309914.0,586926.0,329941.0,367870.0,420051.0,181301.0,231847.0,231847.0,231847.0,258606.0,231847.0,369918.0,241162.0,231847.0,433472.0,183024.0,246788.0,231847.0,231847.0,183024.0,246788.0,231847.0,329941.0,369918.0,231847.0,183024.0,231847.0,329941.0,231847.0,335543.0,116479.0,367870.0,420051.0,367870.0,152730.0,420051.0,737617.0,367870.0,275387.0,737617.0,581462.0,770367.0,629728.0,689092.0,772149.0,629728.0,581462.0,367870.0,737617.0,335543.0,737617.0,183024.0,677030.0,737617.0,584428.0,737617.0,737617.0,584428.0,584428.0,584428.0,577368.0,677030.0,661761.0,584428.0,737617.0,615037.0,152886.0,241162.0,492641.0,629728.0,689092.0,487342.0,318073.0,596683.0,596683.0,596683.0,629728.0,770367.0,629728.0,335543.0,629728.0,596683.0,770367.0,581462.0,770367.0,596683.0,529848.0,492641.0,737617.0,309914.0,318073.0,596683.0,529848.0,581462.0,581462.0,152886.0,677030.0,661761.0,744858.0,532947.0,577368.0,367870.0,377194.0,231847.0,420051.0,737617.0,492641.0,577368.0,615037.0,677030.0,586926.0,615037.0,510951.0,772149.0,629728.0,318073.0,318073.0,318073.0,529848.0,770367.0,615037.0,581462.0,581462.0,581462.0,581462.0,615037.0,615037.0
5,326951.0,367870.0,661761.0,532947.0,737617.0,577368.0,615037.0,677030.0,577368.0,436359.0,436359.0,492641.0,581462.0,581462.0,492641.0,581462.0,377830.0,586926.0,581462.0,581462.0,586926.0,599679.0,436359.0,436359.0,599679.0,599679.0,586926.0,436359.0,335543.0,335543.0,367870.0,377830.0,492641.0,586926.0,436359.0,377830.0,367870.0,436359.0,581462.0,584428.0,584428.0,737617.0,599679.0,599679.0,581462.0,584428.0,661761.0,329941.0,737617.0,433472.0,420051.0,354877.0,231847.0,181301.0,173424.0,152886.0,116479.0,152730.0,737617.0,142999.0,377830.0,377830.0,737617.0,152730.0,107423.0,173424.0,367870.0,326951.0,292713.0,275387.0,246788.0,199586.0,173424.0,173424.0,329941.0,166603.0,90216.0,90216.0,209184.0,176666.0,209184.0,176666.0,183024.0,433472.0,335543.0,69496.0,107423.0,116479.0,152730.0,231847.0,329941.0,329941.0,354877.0,354877.0,241162.0,737617.0,69496.0,335543.0,586926.0,492641.0,577368.0,599679.0,377830.0,436359.0,581462.0,577368.0,737617.0,577368.0,577368.0,615037.0,532947.0,772149.0,367870.0,599679.0,586926.0,492641.0,586926.0,586926.0,492641.0,577368.0,584428.0,584428.0,615037.0,615037.0,737617.0,492641.0,436359.0,420051.0,615037.0,116479.0,737617.0,354877.0,335543.0,292713.0,69496.0,251346.0,246788.0,223922.0,275387.0,275387.0,173424.0,251346.0,152730.0,181301.0,90216.0,173424.0,173424.0,329941.0,69496.0,69496.0,329941.0,246788.0,181301.0,173424.0,329941.0,173424.0,173424.0,246788.0,292713.0,377194.0,326951.0,369918.0,335543.0,335543.0,258606.0,231847.0,183024.0,231847.0,329941.0,367870.0,433472.0,335543.0,581462.0,737617.0,584428.0,677030.0,581462.0,737617.0,661761.0,661761.0,510951.0,354877.0,599679.0,436359.0,599679.0,377830.0,335543.0,436359.0,581462.0,586926.0,377830.0,436359.0,367870.0,377830.0,83093.0,258606.0,737617.0,335543.0,661761.0,532947.0,581462.0,335543.0,581462.0,510951.0,510951.0,581462.0,309914.0,309914.0,420051.0,335543.0,581462.0,737617.0,329941.0,737617.0,615037.0,615037.0,586926.0,420051.0,309914.0,510951.0,615037.0,737617.0,586926.0,335543.0,335543.0,737617.0,581462.0,581462.0,599679.0,377194.0,203331.0,433472.0,258606.0,420051.0,258606.0,420051.0,492641.0,335543.0,492641.0,586926.0,335543.0,335543.0,335543.0,309914.0,309914.0,309914.0,586926.0,433472.0,367870.0,367870.0,275387.0,367870.0,420051.0,433472.0,737617.0,586926.0
6,369918.0,581462.0,535240.0,487342.0,744858.0,677030.0,744858.0,689092.0,689092.0,778704.0,744858.0,744858.0,615037.0,737617.0,532947.0,648550.0,584428.0,615037.0,661761.0,615037.0,584428.0,615037.0,677030.0,532947.0,778704.0,772149.0,772149.0,744858.0,661761.0,661761.0,677030.0,661761.0,737617.0,615037.0,778704.0,744858.0,661761.0,584428.0,677030.0,532947.0,648550.0,535240.0,648550.0,772149.0,778704.0,744858.0,661761.0,677030.0,586926.0,309914.0,581462.0,492641.0,737617.0,433472.0,433472.0,433472.0,367870.0,367870.0,367870.0,367870.0,354877.0,258606.0,231847.0,241162.0,231847.0,275387.0,367870.0,231847.0,107423.0,335543.0,369918.0,258606.0,329941.0,258606.0,231847.0,275387.0,329941.0,183024.0,241162.0,329941.0,183024.0,231847.0,258606.0,181301.0,142999.0,116479.0,173424.0,329941.0,737617.0,335543.0,581462.0,615037.0,615037.0,586926.0,354877.0,152730.0,584428.0,615037.0,778704.0,772149.0,778704.0,744858.0,532947.0,772149.0,648550.0,648550.0,689092.0,772149.0,689092.0,535240.0,446979.0,496270.0,535240.0,487342.0,535240.0,487342.0,487342.0,535240.0,471803.0,535240.0,487342.0,535240.0,648550.0,648550.0,535240.0,689092.0,689092.0,772149.0,648550.0,535240.0,107423.0,433472.0,335543.0,737617.0,367870.0,241162.0,183024.0,258606.0,329941.0,329941.0,258606.0,181301.0,275387.0,258606.0,258606.0,329941.0,329941.0,258606.0,246788.0,183024.0,183024.0,241162.0,329941.0,329941.0,329941.0,329941.0,329941.0,367870.0,73792.0,492641.0,577368.0,116479.0,420051.0,309914.0,737617.0,275387.0,329941.0,433472.0,586926.0,433472.0,367870.0,433472.0,581462.0,318073.0,510951.0,309914.0,510951.0,615037.0,487342.0,596683.0,228281.0,648550.0,648550.0,492641.0,142999.0,584428.0,492641.0,577368.0,615037.0,615037.0,577368.0,586926.0,532947.0,744858.0,181301.0,737617.0,615037.0,318073.0,411659.0,318073.0,510951.0,510951.0,318073.0,439217.0,459598.0,629728.0,510951.0,615037.0,581462.0,510951.0,629728.0,510951.0,510951.0,510951.0,629728.0,629728.0,629728.0,629728.0,318073.0,596683.0,318073.0,615037.0,492641.0,433472.0,596683.0,586926.0,648550.0,689092.0,532947.0,737617.0,586926.0,107423.0,152886.0,152886.0,241162.0,581462.0,744858.0,689092.0,648550.0,487342.0,471803.0,471803.0,529848.0,496270.0,411659.0,596683.0,318073.0,318073.0,629728.0,770367.0,770367.0,629728.0,596683.0,439217.0,439217.0,134180.0
7,258606.0,677030.0,446979.0,496270.0,487342.0,648550.0,471803.0,529848.0,446979.0,446979.0,529848.0,446979.0,487342.0,648550.0,496270.0,430936.0,529848.0,446979.0,471803.0,535240.0,689092.0,648550.0,535240.0,471803.0,487342.0,487342.0,471803.0,471803.0,471803.0,487342.0,648550.0,689092.0,744858.0,648550.0,535240.0,487342.0,535240.0,648550.0,689092.0,535240.0,471803.0,446979.0,446979.0,471803.0,535240.0,648550.0,778704.0,532947.0,159079.0,152730.0,433472.0,581462.0,581462.0,581462.0,510951.0,487342.0,689092.0,615037.0,335543.0,309914.0,492641.0,433472.0,737617.0,737617.0,433472.0,586926.0,586926.0,737617.0,433472.0,492641.0,581462.0,581462.0,335543.0,91123.0,492641.0,231847.0,258606.0,329941.0,329941.0,258606.0,420051.0,367870.0,615037.0,309914.0,737617.0,433472.0,492641.0,770367.0,529848.0,496270.0,411659.0,228281.0,615037.0,241162.0,91123.0,532947.0,778704.0,689092.0,487342.0,471803.0,529848.0,446979.0,446979.0,529848.0,529848.0,529848.0,446979.0,487342.0,471803.0,529848.0,496270.0,439217.0,439217.0,439217.0,439217.0,439217.0,411659.0,411659.0,439217.0,439217.0,411659.0,529848.0,529848.0,529848.0,529848.0,496270.0,496270.0,411659.0,439217.0,411659.0,439217.0,195934.0,275387.0,615037.0,95883.0,599679.0,433472.0,258606.0,231847.0,231847.0,275387.0,275387.0,329941.0,329941.0,275387.0,275387.0,231847.0,292713.0,241162.0,326951.0,275387.0,367870.0,420051.0,433472.0,737617.0,737617.0,433472.0,258606.0,107423.0,615037.0,91123.0,231847.0,510951.0,459598.0,661761.0,586926.0,433472.0,586926.0,335543.0,433472.0,241162.0,335543.0,586926.0,615037.0,581462.0,586926.0,770367.0,615037.0,335543.0,510951.0,134180.0,36125.0,561960.0,36125.0,228281.0,309914.0,116479.0,584428.0,577368.0,737617.0,584428.0,661761.0,91123.0,152730.0,420051.0,615037.0,318073.0,228281.0,134180.0,318073.0,629728.0,318073.0,134180.0,157568.0,157568.0,202688.0,318073.0,318073.0,202688.0,459598.0,459598.0,318073.0,318073.0,459598.0,770367.0,629728.0,202688.0,318073.0,228281.0,459598.0,459598.0,596683.0,510951.0,492641.0,318073.0,629728.0,275387.0,181294.0,648550.0,778704.0,677030.0,91123.0,73792.0,195934.0,241162.0,770367.0,529848.0,157568.0,439217.0,109831.0,430936.0,358289.0,358289.0,228281.0,228281.0,157568.0,157568.0,318073.0,228281.0,228281.0,157568.0,228281.0,157568.0,157568.0,228281.0,228281.0
8,433472.0,615037.0,487342.0,535240.0,778704.0,689092.0,446979.0,446979.0,535240.0,648550.0,529848.0,411659.0,181294.0,496270.0,156073.0,157568.0,71523.0,181294.0,411659.0,446979.0,648550.0,772149.0,772149.0,778704.0,532947.0,677030.0,661761.0,744858.0,772149.0,744858.0,532947.0,661761.0,648550.0,778704.0,661761.0,677030.0,532947.0,778704.0,689092.0,689092.0,778704.0,532947.0,661761.0,677030.0,661761.0,532947.0,744858.0,778704.0,615037.0,532947.0,689092.0,183024.0,367870.0,492641.0,581462.0,629728.0,648550.0,615037.0,737617.0,354877.0,231847.0,258606.0,329941.0,367870.0,354877.0,329941.0,275387.0,737617.0,335543.0,510951.0,309914.0,241162.0,737617.0,69496.0,83093.0,377194.0,203331.0,275387.0,433472.0,292713.0,369918.0,107423.0,152730.0,354877.0,737617.0,615037.0,629728.0,596683.0,535240.0,228281.0,459598.0,586926.0,69496.0,677030.0,584428.0,599679.0,677030.0,661761.0,744858.0,689092.0,648550.0,487342.0,487342.0,535240.0,535240.0,689092.0,772149.0,778704.0,744858.0,778704.0,689092.0,648550.0,648550.0,689092.0,689092.0,689092.0,535240.0,648550.0,648550.0,648550.0,648550.0,648550.0,648550.0,648550.0,689092.0,689092.0,689092.0,689092.0,689092.0,778704.0,744858.0,744858.0,677030.0,677030.0,329941.0,492641.0,367870.0,173424.0,176666.0,329941.0,231847.0,258606.0,225676.0,246788.0,231847.0,183024.0,199586.0,173424.0,181301.0,326951.0,367870.0,354877.0,354877.0,329941.0,420051.0,367870.0,329941.0,231847.0,152886.0,107423.0,116479.0,354877.0,615037.0,596683.0,510951.0,420051.0,241162.0,258606.0,329941.0,241162.0,173424.0,181301.0,737617.0,510951.0,629728.0,510951.0,629728.0,510951.0,581462.0,510951.0,459598.0,411659.0,535240.0,778704.0,648550.0,496270.0,335543.0,116479.0,326951.0,223922.0,492641.0,744858.0,241162.0,367870.0,309914.0,615037.0,529848.0,596683.0,459598.0,596683.0,629728.0,629728.0,459598.0,134180.0,459598.0,629728.0,770367.0,629728.0,459598.0,596683.0,629728.0,629728.0,629728.0,510951.0,335543.0,581462.0,629728.0,318073.0,529848.0,510951.0,510951.0,529848.0,411659.0,510951.0,629728.0,202688.0,615037.0,195934.0,577368.0,492641.0,586926.0,577368.0,615037.0,532947.0,183024.0,581462.0,689092.0,689092.0,596683.0,471803.0,318073.0,318073.0,318073.0,629728.0,411659.0,411659.0,629728.0,629728.0,318073.0,318073.0,596683.0,596683.0,318073.0,770367.0,770367.0,510951.0
9,212555.0,586926.0,535240.0,471803.0,689092.0,648550.0,446979.0,529848.0,535240.0,689092.0,156073.0,91123.0,107423.0,152886.0,152886.0,83093.0,142999.0,69496.0,138606.0,156073.0,95759.0,778704.0,532947.0,615037.0,492641.0,377830.0,436359.0,577368.0,737617.0,737617.0,737617.0,492641.0,689092.0,677030.0,492641.0,377830.0,586926.0,584428.0,661761.0,532947.0,584428.0,581462.0,436359.0,377830.0,492641.0,615037.0,532947.0,744858.0,367870.0,581462.0,615037.0,677030.0,532947.0,69496.0,258606.0,367870.0,433472.0,367870.0,181301.0,737617.0,69496.0,737617.0,142999.0,173424.0,173424.0,231847.0,241162.0,354877.0,231847.0,142999.0,615037.0,737617.0,577368.0,737617.0,577368.0,599679.0,367870.0,586926.0,599679.0,599679.0,586926.0,586926.0,581462.0,615037.0,661761.0,231847.0,492641.0,581462.0,581462.0,433472.0,142999.0,615037.0,661761.0,778704.0,584428.0,492641.0,661761.0,584428.0,577368.0,577368.0,584428.0,661761.0,744858.0,778704.0,744858.0,744858.0,532947.0,615037.0,577368.0,737617.0,677030.0,661761.0,615037.0,584428.0,584428.0,584428.0,677030.0,677030.0,615037.0,615037.0,677030.0,677030.0,661761.0,661761.0,615037.0,584428.0,584428.0,584428.0,584428.0,581462.0,436359.0,586926.0,615037.0,615037.0,577368.0,69496.0,275387.0,183024.0,152730.0,142999.0,69496.0,329941.0,212555.0,183024.0,142999.0,329941.0,209184.0,176666.0,181301.0,231847.0,420051.0,367870.0,181301.0,737617.0,354877.0,231847.0,152730.0,116479.0,152730.0,181301.0,152730.0,737617.0,586926.0,615037.0,581462.0,275387.0,173424.0,246788.0,183024.0,275387.0,181301.0,241162.0,586926.0,318073.0,778704.0,599679.0,737617.0,335543.0,335543.0,510951.0,529848.0,615037.0,586926.0,420051.0,492641.0,772149.0,318073.0,420051.0,367870.0,369918.0,128883.0,83093.0,737617.0,492641.0,335543.0,581462.0,510951.0,629728.0,648550.0,318073.0,629728.0,629728.0,596683.0,459598.0,629728.0,615037.0,581462.0,615037.0,510951.0,615037.0,581462.0,492641.0,492641.0,492641.0,492641.0,492641.0,492641.0,492641.0,309914.0,737617.0,737617.0,492641.0,581462.0,629728.0,510951.0,459598.0,778704.0,152886.0,258606.0,231847.0,369918.0,335543.0,436359.0,492641.0,181301.0,581462.0,584428.0,335543.0,677030.0,581462.0,615037.0,581462.0,335543.0,492641.0,586926.0,586926.0,586926.0,492641.0,335543.0,335543.0,335543.0,335543.0,492641.0,586926.0,737617.0,433472.0
