,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,119.0,133.0,160.0,186.0,197.0,197.0,199.0,197.0,195.0,195.0,195.0,197.5,209.0,206.0,189.33333333333334,206.0,178.5,206.0,204.0,186.5,204.0,204.0,204.0,202.0,202.0,199.0,197.5,186.0,205.5,186.0,186.0,189.33333333333334,183.0,183.0,186.5,183.0,195.0,195.0,195.0,195.0,192.0,189.33333333333334,163.0,165.0,165.0,165.0,176.0,176.0,179.0,179.0,179.0,176.0,179.0,192.0,192.0,192.0,179.0,179.0,176.0,163.0,163.0,160.0,158.0,143.0,140.0,153.0,167.0,167.0,167.0,148.5,165.0,165.0,165.0,165.0,165.0,165.0,160.0,159.0,160.0,158.0,158.0,156.0,172.0,172.0,172.0,158.0,159.0,144.0,148.5,130.0,130.0,130.0,133.0,130.0,142.0,142.0,128.0,114.0,112.0,112.0,112.0,128.0,140.0,140.0,140.0,143.0,142.0,142.0,142.0,137.0,174.0,151.0,135.0,121.0,121.0,121.0,137.0,137.0,137.0,151.0,151.0,151.0,178.5,151.0,151.0,153.0,153.0,153.0,156.0,158.0,144.0,147.0,147.0,160.0,160.0,160.0,160.0,147.0,147.0,149.0,151.0,151.0,151.0,151.0,167.0,167.0,183.0,206.5,188.0,190.0,190.0,190.0,190.0,192.0,200.5,200.5,211.0,211.0,206.5,199.0,202.0,202.0,204.0,222.5,167.0,167.0,167.0,181.0,195.0,199.0,215.0,211.0,218.0,211.0,202.0,204.0,220.0,222.0,236.0,236.0,236.0,225.0,205.5,213.0,202.0,204.0,218.0,218.0,204.0,209.0,222.0,225.0,238.0,238.0,225.0,211.0,218.0,204.0,204.0,190.0,179.0,179.0,179.0,183.0,183.0,179.0,170.0,156.0,170.0,170.0,170.0,183.0,188.0,188.0,186.0,188.0,202.0,202.0,188.0,179.0,186.0,199.0,213.0,227.0,255.0,255.0,222.5,255.0,241.0,255.0,255.0,255.0,241.0,241.0,227.0,227.0,227.0,213.0,213.0,215.0,215.0,218.0,220.0,218.0,218.0,218.0,206.0,206.0,206.0,206.0,192.0,192.0,174.0,195.0,197.0,197.0
1,94.0,107.0,135.0,147.0,160.0,158.0,158.0,142.0,142.0,142.0,156.0,156.0,156.0,153.0,153.0,151.0,165.0,165.0,151.0,151.0,151.0,149.0,163.0,160.0,147.0,147.0,147.0,144.0,144.0,144.0,144.0,144.0,142.0,142.0,142.0,142.0,142.0,156.0,156.0,156.0,142.0,126.0,112.0,96.0,96.0,96.0,107.0,107.0,124.0,137.0,137.0,135.0,137.0,137.0,151.0,137.0,124.0,124.0,107.0,107.0,94.0,91.0,89.0,87.0,85.0,98.0,112.0,112.0,112.0,126.0,124.0,124.0,124.0,124.0,124.0,121.0,119.0,105.0,105.0,103.0,103.0,101.0,101.0,117.0,103.0,103.0,89.0,75.0,62.0,62.0,62.0,64.0,64.0,59.0,59.0,73.0,59.0,57.0,43.0,43.0,57.0,71.0,85.0,98.0,98.0,101.0,101.0,101.0,101.0,98.0,112.0,110.0,96.0,80.0,80.0,80.0,80.0,82.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,98.0,98.0,87.0,87.0,89.0,91.0,91.0,91.0,105.0,105.0,119.0,105.0,91.0,94.0,110.0,110.0,110.0,110.0,112.0,126.0,128.0,147.0,150.0,135.0,135.0,135.0,137.0,150.0,151.0,153.0,170.0,172.0,158.0,144.0,147.0,147.0,137.0,124.0,112.0,98.0,98.0,112.0,126.0,130.0,149.0,149.0,149.0,149.0,151.0,151.0,153.0,167.0,167.0,181.0,181.0,183.0,170.0,160.0,147.0,149.0,163.0,163.0,165.0,167.0,170.0,183.0,183.0,183.0,170.0,158.0,160.0,149.0,135.0,124.0,110.0,112.0,112.0,114.0,114.0,101.0,101.0,101.0,101.0,101.0,101.0,79.0,117.0,119.0,119.0,133.0,133.0,135.0,133.0,119.0,119.0,130.0,144.0,172.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,186.0,172.0,158.0,158.0,144.0,144.0,147.0,147.0,149.0,151.0,149.0,149.0,149.0,137.0,137.0,124.0,124.0,124.0,124.0,124.0,126.0,126.0,128.0,128.0
2,52.0,66.0,66.0,35.0,78.0,53.5,62.0,62.0,48.0,62.0,62.0,62.0,62.0,59.0,44.0,37.666666666666664,54.5,71.0,71.0,57.0,57.0,57.0,71.0,44.0,66.0,66.0,46.0,64.0,64.0,62.0,62.0,42.0,34.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,43.0,48.0,32.0,8.0,82.0,26.0,31.0,8.0,43.666666666666664,27.0,41.0,39.0,41.0,41.0,34.0,41.0,27.0,0.0,4.0,31.0,31.0,35.0,53.0,44.0,22.0,22.0,0.0,7.666666666666667,16.0,16.0,27.0,20.0,41.0,41.0,41.0,39.0,19.0,22.0,9.0,2.0,19.666666666666668,4.0,28.5,2.0,2.0,17.0,37.5,89.0,84.5,120.0,96.0,116.0,120.0,125.0,98.0,111.5,63.75,83.5,102.0,76.0,53.0,12.0,6.0,6.0,16.0,18.0,18.0,18.0,18.0,30.5,16.0,16.0,10.0,10.0,10.0,10.0,6.0,6.0,6.0,13.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,19.5,28.0,49.0,67.0,64.0,40.0,19.0,8.0,11.0,22.0,22.0,22.0,13.0,20.0,27.0,20.0,27.0,18.5,32.0,32.0,29.0,30.4,39.0,20.5,22.5,41.0,35.5,35.5,31.5,65.6,62.0,62.0,25.0,36.0,41.0,27.0,0.0,0.0,22.0,22.0,0.0,0.0,6.0,9.0,25.0,25.0,25.0,27.0,27.0,41.0,30.5,57.0,57.0,73.0,73.0,75.0,64.0,64.0,66.0,66.0,66.0,82.0,85.0,87.0,87.0,87.0,73.0,62.0,64.0,50.0,25.0,22.0,13.0,26.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,19.0,17.0,90.0,85.5,85.5,54.0,19.0,24.0,55.5,48.0,89.0,103.0,103.0,103.0,103.0,103.0,103.0,89.0,62.0,36.0,29.0,41.0,29.0,21.0,24.0,86.4,105.66666666666667,105.2,20.0,122.66666666666667,12.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
3,41.0,41.0,41.0,25.0,25.0,25.0,22.0,9.0,9.0,22.0,19.5,22.0,22.0,18.0,18.0,32.0,32.0,32.0,18.0,18.0,18.0,18.0,29.0,27.0,27.0,27.0,27.0,27.0,25.0,25.0,25.0,25.0,29.0,46.0,26.0,26.0,26.0,26.0,26.0,22.0,22.0,22.0,8.0,44.0,107.0,134.0,161.0,161.0,107.0,53.0,19.5,4.0,0.0,0.0,0.0,0.0,53.0,80.0,134.0,138.0,143.0,147.0,178.0,178.0,156.0,129.0,102.0,76.0,49.0,26.0,28.5,4.0,2.0,2.0,2.0,14.0,2.0,13.0,40.0,40.0,40.0,44.0,44.0,71.0,98.0,152.0,178.0,201.0,228.0,250.0,250.0,250.0,255.0,232.0,232.0,232.0,210.0,183.0,156.0,129.0,76.0,53.0,37.0,37.0,12.0,8.0,8.0,8.0,28.0,28.0,33.0,33.0,33.0,42.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,58.0,58.0,58.0,58.0,80.0,102.0,156.0,178.0,174.0,147.0,116.0,89.0,62.0,40.0,19.0,19.0,19.0,15.0,31.0,26.0,2.6666666666666665,8.0,6.0,6.0,6.0,13.0,14.0,6.0,2.0,4.0,4.0,2.6666666666666665,19.0,29.0,18.0,6.0,0.0,0.0,4.0,0.0,53.0,80.0,107.0,129.0,102.0,102.0,93.0,120.0,116.0,92.25,85.0,85.0,80.0,53.0,24.0,24.0,22.0,8.0,9.0,9.0,22.0,22.0,22.0,22.0,25.0,27.0,43.0,43.0,45.0,45.0,32.0,20.0,17.0,12.0,17.0,58.0,80.0,107.0,134.0,129.0,152.0,152.0,152.0,152.0,152.0,120.0,120.0,147.0,147.0,147.0,147.0,147.0,116.0,85.0,89.0,89.0,89.0,89.0,116.0,89.0,62.0,22.0,31.0,50.0,48.0,48.0,62.0,62.0,48.0,29.0,23.0,26.0,40.0,40.0,91.0,62.0,67.0,62.0,53.0,80.0,85.0,85.0,107.0,107.0,134.0,134.0,134.0,134.0,134.0,129.0,129.0,125.0,125.0,125.0
4,41.0,41.0,41.0,36.5,39.0,25.0,22.0,22.0,22.0,36.0,39.5,36.0,22.5,36.5,34.0,35.333333333333336,45.0,45.0,32.0,32.0,53.5,29.0,41.0,38.5,41.0,41.0,39.0,39.0,40.0,39.0,36.0,36.0,27.0,34.0,34.0,34.0,34.0,35.333333333333336,22.333333333333332,22.0,33.0,34.0,22.0,15.0,22.0,80.0,87.0,161.0,87.0,80.0,53.0,31.0,0.0,9.5,0.0,26.0,53.0,80.0,64.5,111.0,120.0,125.0,125.0,131.5,129.0,102.0,43.5,33.8,22.0,29.5,2.0,13.0,13.0,27.0,27.0,25.0,22.0,22.0,6.0,2.0,2.0,2.0,2.0,44.0,71.0,66.0,178.0,205.0,133.5,149.5,120.0,196.0,196.0,174.0,79.0,116.0,109.0,102.0,53.0,33.0,29.166666666666668,12.0,31.5,6.0,6.0,27.0,6.0,21.0,27.666666666666668,13.0,20.428571428571427,20.428571428571427,6.0,6.0,6.0,6.0,14.0,6.0,6.0,6.0,20.4,17.0,19.068181818181817,16.166666666666668,26.0,17.0,37.0,53.0,69.5,156.0,90.0,69.0,55.5,62.0,40.0,25.5,25.333333333333332,36.0,8.0,15.0,13.0,6.0,34.0,20.0,16.0,33.0,21.5,21.5,21.5,27.0,25.5,2.0,2.0,25.0,29.0,29.0,32.0,26.0,9.0,0.0,11.666666666666666,26.0,53.0,28.5,53.0,49.0,22.0,17.0,67.0,89.0,107.0,131.5,94.5,89.83333333333333,107.0,73.5,53.0,53.0,60.0,37.5,22.0,10.0,11.0,22.0,36.0,36.0,52.0,55.0,57.0,46.0,57.0,45.0,34.0,25.0,17.0,12.0,17.0,51.0,68.33333333333333,96.33333333333333,129.0,142.5,125.0,118.0,125.0,120.0,101.0,126.16666666666667,91.0,115.75,118.0,108.8,107.0,120.0,116.0,91.0,67.0,62.0,84.5,68.5,93.0,89.0,62.0,35.0,24.0,39.0,33.0,64.0,43.5,64.0,64.0,39.0,31.0,20.5,15.0,53.5,24.0,35.0,46.5,46.5,38.0,53.0,78.6,95.5,89.0,137.0,107.0,107.0,91.5,107.0,107.0,102.0,102.0,98.0,98.0,98.0
5,29.0,55.0,41.0,41.0,39.0,39.0,36.0,36.0,36.0,50.0,64.0,64.0,54.5,50.0,62.0,54.5,45.0,45.0,45.0,45.0,57.0,57.0,55.0,55.0,41.0,55.0,55.0,55.0,52.0,52.0,50.0,50.0,50.0,36.0,48.0,48.0,48.0,34.0,48.0,34.0,34.0,34.0,36.0,36.0,20.0,4.0,49.0,102.0,134.0,107.0,42.0,33.8,26.0,26.0,26.0,26.0,26.0,53.0,80.0,89.0,67.0,71.0,98.0,98.0,98.0,76.0,49.0,22.0,2.0,13.0,13.0,27.0,27.0,27.0,41.0,39.0,50.0,50.0,34.0,34.0,34.0,20.0,4.0,2.0,44.0,98.0,125.0,147.0,174.0,170.0,170.0,143.0,116.0,120.0,129.0,52.0,53.0,12.0,6.0,6.0,16.0,16.0,27.0,29.0,32.0,18.0,18.0,18.0,18.0,17.0,6.0,6.0,16.0,29.0,27.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,6.0,17.0,53.0,76.0,93.0,53.0,32.333333333333336,40.0,8.0,11.0,11.0,11.0,7.5,7.5,13.0,16.0,16.0,29.0,29.0,68.0,29.0,34.0,52.0,55.0,41.0,27.0,29.0,29.0,29.0,29.0,29.0,20.0,11.0,0.0,0.0,0.0,26.0,26.0,0.0,16.0,21.5,18.0,0.0,35.0,62.0,62.0,89.0,107.0,69.0,76.0,35.333333333333336,80.0,80.0,63.5,35.2,22.0,8.0,22.0,36.0,50.0,52.0,66.0,39.0,71.0,71.0,59.0,48.0,25.0,17.0,21.5,36.666666666666664,58.0,93.5,92.0,57.666666666666664,102.0,102.0,98.0,106.5,93.0,93.0,71.0,51.0,93.0,93.0,54.0,89.0,93.0,89.0,62.0,51.0,67.0,80.0,62.0,67.0,67.0,62.0,42.0,33.0,31.0,50.0,78.0,91.0,78.0,64.0,50.0,39.0,31.0,24.0,19.0,22.0,31.0,35.0,35.0,15.666666666666666,62.0,62.0,53.0,36.666666666666664,44.0,80.0,53.0,53.0,53.0,49.0,49.0,49.0,31.5,44.0,41.0
6,23.75,45.0,45.0,43.0,41.0,41.0,39.0,39.0,39.0,39.0,52.0,52.0,50.0,38.5,34.0,34.0,32.0,32.0,32.0,45.0,45.0,57.0,55.0,41.0,27.0,27.0,27.0,27.0,41.0,21.5,41.0,39.0,39.0,39.0,34.0,34.0,34.0,36.0,36.0,36.0,22.0,37.666666666666664,22.0,22.0,29.5,22.333333333333332,4.0,76.0,107.0,98.0,129.0,107.0,80.0,80.0,45.0,53.0,45.0,80.0,111.0,120.0,48.5,98.0,98.0,125.0,125.0,102.0,76.0,28.5,26.0,4.0,2.0,2.0,2.0,2.0,21.666666666666668,11.0,22.0,45.5,20.0,40.666666666666664,20.0,6.0,2.0,44.0,98.0,120.0,147.0,174.0,201.0,116.0,122.5,111.5,147.0,125.0,102.0,53.0,33.0,21.0,6.0,19.727272727272727,21.8,6.0,23.22222222222222,19.0,24.166666666666668,24.166666666666668,11.6,15.5,6.0,6.0,8.0,17.5,7.666666666666667,11.0,18.533333333333335,25.333333333333332,6.0,15.428571428571429,9.5,22.27027027027027,19.666666666666668,21.807692307692307,13.862068965517242,12.8,21.807692307692307,13.6,11.6,11.0,33.0,53.0,102.0,120.0,89.0,62.0,21.0,40.5,8.0,8.0,4.0,20.666666666666668,14.5,29.0,47.666666666666664,29.0,16.0,13.5,16.0,59.5,63.0,41.0,41.0,20.666666666666668,35.5,16.0,16.0,11.0,13.0,10.666666666666666,0.0,0.0,0.0,53.0,76.0,76.0,14.0,2.0,42.0,18.0,9.0,5.5,1.0,8.0,62.0,105.33333333333333,107.0,102.0,76.0,107.0,107.0,125.0,89.0,93.0,62.0,48.5,11.5,11.0,25.0,39.0,36.5,36.333333333333336,59.0,45.0,22.0,17.0,17.0,62.0,85.0,139.66666666666666,158.0,171.5,107.0,80.0,111.33333333333333,129.0,120.0,148.66666666666666,105.33333333333333,109.0,93.0,96.5,115.66666666666667,132.5,115.71428571428571,96.5,89.0,130.66666666666666,89.0,93.0,93.0,89.0,62.0,98.0,67.0,69.66666666666667,105.33333333333333,22.0,24.0,50.0,64.0,64.0,50.0,30.5,9.166666666666666,31.0,19.0,42.25,66.66666666666667,94.5,86.5,96.66666666666667,85.0,89.0,85.0,131.5,80.0,138.33333333333334,111.33333333333333,127.66666666666667,86.5,100.0,75.83333333333333,73.5,100.0,84.5,153.0,67.0
7,25.25,34.0,32.0,32.0,29.0,44.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,2.0,0.0,0.0,6.0,35.0,37.666666666666664,32.0,32.0,29.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,25.0,25.0,25.0,22.0,22.0,28.0,22.0,22.0,22.0,11.0,11.0,22.0,42.0,22.0,6.0,26.5,44.0,102.0,60.26315789473684,102.5,134.0,134.0,134.0,134.0,134.0,134.0,104.5,147.0,106.5,125.0,53.375,67.5,131.0,129.0,95.5,102.0,80.0,40.0,53.0,28.5,26.0,26.0,4.0,2.0,9.0,22.0,20.0,6.0,6.0,17.0,67.0,125.0,101.71428571428571,201.0,201.0,228.0,228.0,228.0,228.0,201.0,113.5,93.0,71.0,33.0,12.0,6.0,6.0,10.5,12.0,8.0,12.0,8.0,8.0,8.0,6.0,6.0,6.0,8.0,8.0,12.0,12.0,14.5,17.0,17.0,13.666666666666666,17.0,14.5,17.0,11.5,17.0,17.0,17.0,11.5,17.0,11.5,17.0,17.0,33.0,53.0,77.0,89.0,89.0,62.0,40.0,19.0,8.0,11.0,10.0,13.0,16.0,28.25,16.0,20.5,19.0,34.333333333333336,31.5,30.0,27.0,11.0,2.0,0.0,0.0,22.0,22.0,44.0,44.0,35.0,26.0,53.0,76.0,129.0,100.0,49.0,0.0,16.0,18.5,22.0,11.0,35.0,21.333333333333332,62.0,111.0,134.0,129.0,97.75,107.0,104.5,115.5,156.0,147.0,143.0,116.0,89.0,84.5,19.0,13.0,29.0,45.0,32.0,20.0,12.0,35.0,62.0,89.0,111.0,138.0,138.0,134.0,134.0,134.0,156.0,152.0,152.0,147.0,120.0,120.0,120.0,120.0,123.0,116.0,116.0,116.0,116.0,116.0,116.0,120.0,93.0,93.0,93.0,89.0,93.0,139.22857142857143,93.0,93.5,22.0,31.0,50.0,50.0,39.0,31.0,31.0,24.0,19.0,35.0,96.0,85.0,116.0,111.0,116.0,116.0,149.0,111.0,111.0,111.0,107.0,107.0,107.0,102.0,102.0,102.0,98.0,93.0,93.0,93.0
8,20.833333333333332,34.0,34.0,18.0,16.0,13.0,2.0,2.0,2.0,2.0,4.0,4.0,26.0,31.0,31.0,62.0,62.0,35.0,17.0,4.0,6.0,16.0,29.0,29.0,27.0,41.0,30.5,27.0,27.0,27.0,27.0,27.0,25.0,25.0,37.5,36.0,54.5,36.0,22.0,23.5,25.0,25.0,39.0,35.333333333333336,39.0,36.0,16.5,19.0,6.0,0.0,49.0,107.0,134.0,100.5,134.0,134.0,134.0,134.0,83.6,120.0,77.5,125.0,87.0,134.0,152.0,57.666666666666664,129.0,129.0,107.0,107.0,74.0,53.0,26.0,4.0,4.0,9.0,22.0,36.0,34.0,36.0,6.0,2.0,40.0,48.5,91.0,201.0,201.0,122.5,201.0,201.0,174.0,111.5,93.0,44.0,24.0,6.0,6.0,16.0,6.0,11.0,15.4,20.333333333333332,20.333333333333332,8.0,8.0,11.6,12.872727272727273,19.068181818181817,20.105263157894736,19.571428571428573,10.375,23.666666666666668,20.166666666666668,17.181818181818183,11.966101694915254,15.67741935483871,20.75,13.862068965517242,12.8,13.862068965517242,15.461538461538462,13.862068965517242,14.295081967213115,16.846153846153847,18.875,15.67741935483871,15.409090909090908,13.892857142857142,24.708333333333332,15.833333333333334,21.75,12.0,24.0,40.0,40.0,40.0,8.0,22.0,25.0,74.66666666666667,66.0,56.0,38.333333333333336,29.0,29.0,52.0,29.0,37.5,25.0,27.0,2.0,33.8,10.0,22.0,66.0,71.0,53.0,98.0,62.0,58.0,49.0,102.0,129.0,115.5,76.0,0.0,30.5,35.0,20.666666666666668,36.0,82.0,22.0,35.0,115.0,93.5,43.0,101.0,80.0,102.0,129.0,156.0,147.0,116.0,89.0,89.0,85.0,53.0,21.0,13.0,30.115384615384617,20.0,12.0,22.0,62.5,81.33333333333333,90.33333333333333,111.0,102.5,156.0,150.0,127.0,134.0,185.5,152.0,152.0,145.0,103.25,126.16666666666667,149.0,120.0,129.25,126.16666666666667,137.77777777777777,96.2,89.0,89.0,118.0,93.0,67.0,74.33333333333333,74.33333333333333,67.0,108.0,115.0,131.5,115.5,22.0,40.0,50.0,64.0,50.0,39.0,39.0,17.5,31.666666666666668,53.5,58.0,74.5,80.0,86.4,99.0,89.0,93.5,80.4,85.0,122.0,85.0,85.75,55.5,76.0,130.5,76.0,86.0,79.2,79.2,84.5
9,18.8,34.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,26.0,53.0,80.0,80.0,85.0,111.0,116.0,89.0,67.0,40.0,17.0,6.0,16.0,25.125,43.0,57.0,57.0,57.0,43.0,43.0,43.0,43.0,24.666666666666668,41.0,40.0,52.0,52.0,39.0,26.6,39.0,40.0,52.0,52.0,52.0,52.0,50.0,34.0,23.5,60.5,34.0,15.5,26.0,53.0,80.0,107.0,107.0,107.0,107.0,89.0,46.5,46.5,49.0,125.0,125.0,125.0,125.0,102.0,60.0,80.0,53.0,26.0,4.0,4.0,2.0,28.0,22.0,36.0,24.5,18.0,20.0,9.0,34.0,4.0,40.0,67.0,120.0,147.0,147.0,147.0,61.0,93.0,67.0,44.0,23.0,6.0,6.0,25.857142857142858,13.5,18.0,18.0,18.0,20.0,6.0,14.75,14.0,17.666666666666668,18.0,18.0,18.0,18.0,18.0,6.0,17.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,11.0,13.0,6.0,13.0,17.5,13.0,30.5,16.0,16.0,18.0,24.0,8.0,19.0,19.0,11.0,73.5,39.0,39.0,74.5,41.0,43.0,43.0,43.0,43.0,43.0,32.0,22.0,11.0,2.0,6.5,22.0,49.0,71.5,71.0,57.5,98.0,35.5,26.666666666666668,24.5,51.0,102.0,129.0,102.0,22.0,16.0,34.0,22.0,22.0,22.0,9.0,31.0,128.0,71.0,30.5,49.0,53.0,76.0,98.0,121.75,125.0,89.0,35.0,62.0,80.0,80.0,35.0,17.0,17.0,12.0,26.0,26.5,40.0,62.0,48.5,85.0,78.2,76.5,134.0,102.5,89.25,129.0,129.0,125.0,98.0,93.0,93.0,84.5,82.6,93.0,62.0,62.0,58.0,85.0,89.0,62.0,51.0,60.0,40.0,51.0,40.0,40.0,62.0,75.5,67.0,49.0,29.0,62.0,78.0,64.0,50.0,39.0,31.0,26.666666666666668,17.0,22.5,42.0,26.166666666666668,44.2,73.5,89.0,56.333333333333336,58.0,58.0,58.0,58.0,58.0,58.0,49.0,76.0,44.0,40.0,58.0,29.0,31.5
